ta_id	nama	kategori_ta	alamat_ta	lat	lng	telepon	rating	ulasan
13817991	Immanuel Bookstore	Gift & Specialty Shops	Jalan Proklamasi 76, Jakarta, 10320	-6.20287	106.84893	+62 21 3900790	5.0	1
15618584	Mariami	Gift & Specialty Shops	Jl. Petogogan II No.32 Blok A, Jakarta, 12140	-6.25085	106.79397	+62 21 29126264	3.0	2
16162508	Lucy's Batik - Jakarta	Gift & Specialty Shops	Jl. Kemang Raya No.30 Mitra Hadiprana 1st Floor, Jakarta, 12730	-6.260612	106.815186	+62 21 7182767	4.7	3
17713976	Khas Jakarta Kota Tua	Gift & Specialty Shops	Jl. Taman Fatahillah No.3 Kota Tua Post Office, Jakarta, 11110	-6.134133	106.81322	+62 896-7880-8034		
18841189	Bike Station	Gift & Specialty Shops	Jalan Asia Afrika No 32 Stc LG 34, Jakarta, 10270	-6.22728	106.79836	+62 21 57931891	4.0	1
18966670	Indies Gallery - Antique Maps & Prints of Indonesia	Gift & Specialty Shops	Jl. Kemang Raya No. 8B Aksara Bookstore, Jakarta, 12730	-6.256469	106.81471	+62 813-1900-4269	3.0	2
19453565	BIASA Jakarta	Gift & Specialty Shops	Jl. Kemang Raya No.20, Jakarta, 12730	-6.259716	106.815125	+62 21 7182322	5.0	1
20110209	Sidikalang Jaya Coffee Store	Gift & Specialty Shops	Jl. Seni Budaya Raya No.7A, Jakarta, 11460	-6.1878	106.79098	+62 816-1717-8119		
20254097	Pelangi Bunga	Gift & Specialty Shops	Jl. Budi Raya No.4C Kemanggisan, Jakarta, 11480	-6.19302	106.78226	+62 813-1759-8383		
23027735	Poster House 77	Gift & Specialty Shops	Jalan Kemang Timur Raya No 77, Jakarta, 12730	-6.259977	106.82344	+62 877-2347-6577	5.0	1
25066794	Hublife Mall	Gift & Specialty Shops	Jl. Tanjung Duren Timur No.2, Rt.12/rw.5, Tj. Duren Selatan, Jakarta, 11470				4.0	1
25090320	By The Sea Mall	Gift & Specialty Shops	Pantai Maju Golf Island Pik Pik 2, Jakarta				4.5	2
25159960	Oleholehku.id	Gift & Specialty Shops	Jalan Plot DKI, Block D9 Duren Palm Sub-district, Jakarta, 13440	-6.130224	106.706795		5.0	1
25408428	Chandraprima Money Changer	Gift & Specialty Shops	Wahid Hasyim street number 185. Tanah abang Afindo cargo room number 222, Jakarta, 10250	-6.187398	106.81649	+62 851-0368-7688	4.0	4
26270726	Jakartanotebook Benhil	Gift & Specialty Shops	Bendungan Hilir Raya Blok G1 No. 10 Jakarta Pusat Seberang Geprek Bensu Benhil, Jakarta, 10210	-6.211045	106.812355	+62 896-1352-2200		
26585518	Big Boy Looks Good	Gift & Specialty Shops	Jl Prof Dr. Satrio Kav 18, Jakarta, 12940	-6.216613	106.81918	+62 857-7993-3198		
26806658	Toko Buku Pak Pay	Gift & Specialty Shops	Jl. Kramat Raya No.2 Rt.2/rw.7, Jakarta, 10420	-6.2959	106.81137	+62 878-8385-8604		
27508964	Shishaholic	Gift & Specialty Shops	Jl. Raya Condet No.5, RT.1/RW.16, Cililitan, KEC, Jakarta, 13640	-6.26571	106.86111	+62 812-9587-0909		
27720986	Number 76 Jakarta	Gift & Specialty Shops	18 Parc Place Tower D, Ground Floor, Suite 2, Scbd, Jl. Jendral Sudirman Kav. 52-53, Rt.5/rw.3, Senayan, Kebayoran Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia, Jakarta, 12190	-6.21462	106.84513	+62 21 51401776		
28114445	Aneka Foto	Gift & Specialty Shops	Jl. Samanhudi No.19-20 Blok AKS Metro Atom Plaza, RT.20/RW.3, Ps. Baru, Jakarta, 10710	-6.283771	106.78044	+62 21 3457933	5.0	18
28564979	Gema Collection	Gift & Specialty Shops	Jl. Tebah III No.107 Mayestik Market, Jakarta, 12120				2.0	1
28897061	Rajanya Promosi	Gift & Specialty Shops	Jl. Hankam No. 13, RT.6/RW.9 Jl. Siyarridin I, Jakarta, 12550	-6.286373	106.82381	+62 812-9907-6453	5.0	4
32684407	Souvennir Tumbler Murah	Gift & Specialty Shops	Komplek MPR, Jl. Flamboyan No.B11, Jakarta, 12430	-6.282774	106.805466	+62 821-2339-7985	5.0	2
32709906	Indonesia Senyum	Gift & Specialty Shops	Jl. Panglima Polim No.37, RT.1/RW.1, Melawai Tenant Inside M Bloc Market, Jakarta, 12160	-6.241794	106.79899		5.0	1
32764882	Pojahome Indonesia	Gift & Specialty Shops	Jl. H. Daud I 35c, Rt.2/rw.3, Sukabumi Sel., Kec. Kb. Jeruk Kota Jakarta Barat, Daerah Khusus Ibukota , Jakarta, 11560	-6.20643	106.7747	+62 851-3312-5638	5.0	1
32867928	Royalkueid	Gift & Specialty Shops	Pantai Indah Kapuk St. Fresh Market PIK, TP 22, Jakarta, 14470	-6.104652	106.74207	+62 813-8265-9808		
32986329	Nagarey	Gift & Specialty Shops	Jl. Jalur 20 No.9, RT.4/RW.10 Meruya Utara, Jakarta, 11650	-6.197569	106.72874	+62 822-1076-9566		
33053752	Maison Amare Studio	Gift & Specialty Shops	Jl. Letjen S.Parman No.Kav 21 Mal Taman Anggrek, Lt. G, Jakarta, 11470	-6.178342	106.792595	+62 823-1334-9096		
33225533	Samsung Mhi Itc Fatmawati	Gift & Specialty Shops	Itc Fatmawati Lt. 1 No 49-51, RT.3/RW.5, Cipete Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota , Jakarta, 12150	-6.243449	106.62117	+62 811-8818-124		
33404716	Home Decor Indonesia	Gift & Specialty Shops	Jalan Rs Fatmawati No. 5a,c,d 1, Rt.1/rw.6, Gandaria Utara, Kec. Kebayoran. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140, Jakarta, 12140	-6.259873	106.79643	+62 818-0604-0506		
34036099	Souvenir Tumbler Murah	Gift & Specialty Shops	Jl. Flamboyan No.B11, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, Jakarta, 12430	-6.283486	106.80547	+62 812-9907-6453	5.0	1
34311250	Gong-Ye	Gift & Specialty Shops	Jl. Daan Mogot KM.1 No.45, Jakarta, 11470	-6.16576	106.783295	+62 821-9601-5530		
34469473	Neng Mae	Gift & Specialty Shops	Jl. Rorotan IV No.51, RT.10/RW.06, Rorotan, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14140, Jakarta, 14140	-6.151821	106.95545	+62 813-1211-6030		
34469706	Cosma Studio.id	Gift & Specialty Shops	Jl Mandala Utara IV No 26 Rt 6 Rw 6 Tomang, Jakarta, 11440	-6.172637	106.79731	+62 811-1800-518		
34473610	KIRANA LIVIN at Alun Alun Indonesia	Gift & Specialty Shops	Grand Indonesia, West Mall, 3rd Floor, Jl. MH Thamrin No.1, RT.1/RW.5 Menteng, Jakarta, 10310	-6.196113	106.822945	+62 21 23580890		
12423972	Bartele Gallery	Antique Stores	Jl. M.H. Thamrin Mandarin Oriental Hotel - 2nd floor, Jakarta, 10310	-6.19604	106.82356	+62 21 29938997	4.8	5
23760495	Kuponhosting	Antique Stores	Jakarta Pusat, Jakarta	-6.180511	106.828384	+62 881-0235-15545		
32814483	Florist Sedapmalam Mas Agung	Antique Stores	Jl. Sulaiman No.56 Blok B Lapak Sedapmalam, Rw.3, Sukabumi Utara, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11540, Jakarta, 11540	-6.206067	106.77821	+62 852-1046-4090	5.0	1
379326	Fish Market (Pasar Ikan)	Flea & Street Markets	Jln. Sunda Kelapa, Jakarta, 14440	-6.12347	106.81047		3.7	17
2587868	Flea Market at Jalan Surabaya	Flea & Street Markets	Surabaya St No.20-21 , Jakarta, 10310	-6.197372	106.839195		3.8	410
3640861	Tanah Abang Market	Flea & Street Markets	Jl. Fachrudin 5 Stasiun Pasarsenen, Jakarta, 10250	-6.187184	106.8153		3.8	307
8330603	Mangga Dua Morning Market	Flea & Street Markets	Jl. Mangga Dua Raya, Jakarta, 14430	-6.13629	106.821884	+021 600 4840	3.8	33
8728059	Hype Festival	Flea & Street Markets	Jln. Pantai Indah, Jakarta, 14420	-6.12155	106.83383	+62 852-1888-8810	3.8	4
12459860	Pasar Tebet Barat	Flea & Street Markets	Jl. Tebet Barat Dalam Raya, Jakarta, 12810	-6.23449	106.84656		4.0	3
17531744	Muara Baru Modern Fish Market	Flea & Street Markets	Jl. Muara Baru Raya North Jakarta City, Jakarta, 14440	-6.12129	106.80384		3.8	5
19090223	Pecenongan Night Market	Flea & Street Markets	Jl. Pecenongan, Jakarta, 10120	-6.16222	106.82695		5.0	1
