No.	Nama	Kategori TripAdvisor	Relevan Nightlife	Jenis Venue	Kota Administrasi	Kecamatan	Alamat (kurasi)	Alamat (TripAdvisor)	Koordinat	Flag Koordinat	Telepon	Rating	Jumlah Ulasan	Status	Catatan	URL TripAdvisor
22	Bura Bura Jakarta	Clubs & Bars	Ya	Bar & lounge	Jakarta Selatan	Pasar Minggu	Jl. Benda Bawah No.77, RW.6, Cilandak Timur, Pasar Minggu, Jakarta Selatan 12560	St. Benda Bawah No.77 East Cilandak, South Jakarta, Jakarta	-6.279054,106.81283		+62812-5888-3884			Aktif	Cocktail bar bergaya Jepang (Golden Gai) buka tiap hari 18.00-02.00, sumber: manual.co.id, Instagram @buraburajakarta.	https://www.tripadvisor.com/Attraction_Review-g294229-d24190339
23	Camden Sunter	Clubs & Bars	Ya	Bar & lounge	Jakarta Utara	Tanjung Priok	Jl. Sunter Agung Perkasa 8 No. 34-35	JL SUNTER Jl. Agung Perkasa 8 No.34-35, Sunter Agung, Tanjung Priok, North Jakarta City	-6.14089,106.87363		+62812-8787-7035			Aktif	"Cabang Sunter dari Camden (bar & cafe, tagline ""Come as Strangers Leave as Friends""); alamat terverifikasi via profil Instagram resmi @camden.jkt yang mencantumkan 2 lokasi (Cikini & Sunter)."	https://www.tripadvisor.com/Attraction_Review-g294229-d34277879
24	Escape KTV & Bar	Karaoke Bars	Ya	Karaoke / KTV	Jakarta Selatan	Kebayoran Lama	The Bellezza Office Tower Lt.28, Jl. Permata Hijau, Kebayoran Lama, Jakarta Selatan	Jl. Permata Hijau The Bellezza Office Tower Daerah Khusus, Jakarta, 12210	-6.222475,106.785324		+62813-1646-0007			Aktif	KTV & bar aktif, buka setiap hari 15.00-02.00, sumber: chope.co, escapektv.co.id.	https://www.tripadvisor.com/Attraction_Review-g294229-d25194330
25	Galaxi KTV Club	Clubs & Bars	Ya	Karaoke / KTV	Jakarta Selatan	Cilandak	Jl. RS. Fatmawati, Komplek Golden Plaza Blok H3-8, Jakarta Selatan 12420	Jl. RS. Fatmawati,Jakarta Selatan Komplek Golden Plaza Blok H3-8, Jakarta, 12420	-6.27961,106.79673		+622175914687			Tidak diketahui	Kecamatan dari alamat/kodepos. KTV di Golden Plaza Fatmawati; status operasional terkini tak terverifikasi independen. Sumber: Tripadvisor.	https://www.tripadvisor.com/Attraction_Review-g294229-d6159132
26	Inul Vizta Plaza Semanggi	Karaoke Bars	Ya	Karaoke / KTV	Jakarta Selatan	Setiabudi (dari alamat)	Plaza Semanggi Lt. 6, Jl. Jend. Sudirman Kav. 50, Karet Semanggi, Jakarta Selatan 12930	Jl. Jend Sudirman Kav.50 Plaza Semanggi Lt. 6, Jakarta, 12930	-6.22284,106.80868		+622125539378			Aktif	Karaoke keluarga Inul Vizta cabang Plaza Semanggi, buka 11:00-02:00 (sumber: idalamat.com, Traveloka).	https://www.tripadvisor.com/Attraction_Review-g294229-d14097676
27	Ketawa Comedy Club	Comedy Clubs	Ya	Comedy club	Jakarta Selatan	Cilandak (dari alamat)	Jl. Pangeran Antasari No. 10A (Lt. 2) / Little Osaka Food Town, Jl. RS Fatmawati Raya, Cilandak Barat — dua alamat ditemukan, kemungkinan pindah lokasi	Jl. Pangeran Antasari No.10A Cipete Utara, Jakarta, 12150	-6.27493,106.80888		+62818-697-749			Aktif	Comedy club full-time dengan show 5 hari/minggu (sumber: ketawa.co.id, TripAdvisor, Facebook).	https://www.tripadvisor.com/Attraction_Review-g294229-d20274116
28	Myrtle Beach	Clubs & Bars	Ya	Bar & lounge	?	?	?	Marina Ancol Pelabuhan Kali Adem/ Muara Angke, Jakarta, 10110	-5.404939,105.279465	KOORDINAT DI LUAR DKI				Tidak diketahui	"Dikategorikan ""Clubs & Bars"" di TripAdvisor tanpa rating/ulasan; tidak ditemukan jejak web (Bing/Google/Instagram) untuk memverifikasi lokasi atau status operasional."	https://www.tripadvisor.com/Attraction_Review-g294229-d34273168
29	Rabbithide	Karaoke Bars	Ya	Karaoke / KTV	?	?	?	Jl. Prof. DR Satrio One Satrio, Jakarta, 12950	-6.22542,106.826096		+62811-1591-819			Tidak diketahui	"Dikategorikan TripAdvisor sebagai ""Karaoke Bars"" (subkategori spesifik, bukan ""Nightlife"" umum), tapi tidak ditemukan jejak web/Instagram/Maps independen untuk verifikasi lokasi atau status operasional — alamat dan kecamatan tidak dapat dipastikan."	https://www.tripadvisor.com/Attraction_Review-g294229-d27138489
30	Triple Nine 999	Karaoke Bars	Ya	Karaoke / KTV	?	?	?	Jl. Falatehan I Jl. Iskandarsyah Raya No.8, RT.	-6.241844,106.80151		+62812-7656-3101			Tidak diketahui	"Dikategorikan TripAdvisor sebagai ""Karaoke Bars"", namun tidak ditemukan jejak web independen (pencarian hanya menghasilkan hasil tidak relevan) untuk memastikan alamat, kecamatan, atau status operasional."	https://www.tripadvisor.com/Attraction_Review-g294229-d27168614
31	Z Squared	Clubs & Bars	Ya	Kompleks hiburan	Jakarta Utara	Penjaringan	Rukan Elang Laut Boulevard Blok D15-17, Pantai Indah Kapuk, Penjaringan, Jakarta Utara	Jalan Elang Laut Boulevard Blok D15-17, Jakarta, 14470	-6.126443,106.74941		+62812-9697-3434			Tidak diketahui	Kompleks 3 lantai di PIK berisi lounge live music dan ruang KTV (Ace Room); status operasi terkini tak terverifikasi, sumber: matalelaki.com, tabloidbintang.com.	https://www.tripadvisor.com/Attraction_Review-g294229-d23932747
32	Lokasari Square	Clubs & Bars	Sebagian	Kompleks hiburan	Jakarta Barat	Taman Sari	Jl. Mangga Besar IX, RT.6/RW.2, Tangki, Taman Sari, Jakarta Barat	Jln. Raya Mangga Besar no. 81, Jakarta, 11180	-6.145773,106.82048		+62216265233	3,5	14	Aktif	Kompleks hiburan malam legendaris (diskotik & karaoke) di Mangga Besar; jam kompleks umum 10.00-22.00 tercatat, unit di dalamnya buka malam. Sumber: salsawisata.com, ulasantempat.com.	https://www.tripadvisor.com/Attraction_Review-g294229-d7980723
33	meZZa Lounge & Bar	Clubs & Bars	Sebagian	Bar & lounge	Jakarta Selatan	Setiabudi (dari alamat)	Aston Rasuna Jakarta, Jl. HR Rasuna Said, Setiabudi, Jakarta Selatan	Jl. Haji R. Rasuna Said Aston Rasuna, Jakarta	-6.16372,106.8547			4,5	8	Aktif	Cafe/bar/lounge di dalam Hotel Aston Rasuna, buka 07:00-23:00, jadi bukan venue malam murni (sumber: pergikuliner.com).	https://www.tripadvisor.com/Attraction_Review-g294229-d12962505
34	Dayana Est. 1997 - A Cigar Store	Cigar Bars	Sebagian	Cigar bar	Jakarta Selatan	Kebayoran Baru	Ambhara Hotel Jakarta, Jl. Iskandarsyah Raya No.3, Melawai, Kebayoran Baru, Jakarta Selatan (juga berlokasi di Hotel Bidakara dan Artotel Suites Mangkuluhur)	Hotel Bidakara Pancoran Jakarta Lotus Lounge 1st Floor, Jakarta, 12780	-6.240152,106.84186		+62813-8818-1519	5	1	Aktif	Toko cerutu premium dengan cigar lounge di lobi hotel; fungsi utama retail tapi ada area lounge untuk merokok/minum malam, sumber: Foursquare, dayanatobacco.com.	https://www.tripadvisor.com/Attraction_Review-g294229-d25297086
35	Aloha Pik2 (strand) Banteng	Clubs & Bars	Sebagian	Klub malam / diskotek	?	?	?	Jalan Pantai Indah Kapuk, Jakarta	-6.1164,106.8048					Tidak diketahui	"Kategori TripAdvisor ""Clubs & Bars"" tapi nama gabungan tidak lazim/tidak jelas (Pik2/strand/Banteng bercampur) dan tidak ditemukan jejak web, Instagram, atau Maps yang cocok — kemungkinan data listing bermasalah/tidak valid, tidak dapat diverifikasi sebagai venue nyata."	https://www.tripadvisor.com/Attraction_Review-g294229-d28123847
36	Fortune Spa & Lounge Grand Wijaya	Karaoke Bars	Sebagian	Karaoke / KTV	Jakarta Selatan	Kebayoran Baru	?	Wijaya Grand Centre, Jl. Darmawangsa Raya Blok F21 Pulo, Kec. Kby. Baru, Jakarta, 12160	-6.21462,106.84513		+62217206868			Tidak diketahui	"Nama menggabungkan ""Spa"" dan ""Lounge"" — pola umum tempat spa+karaoke di Jakarta yang punya operasi malam nyata namun fungsi utama tercampur dengan spa; area Grand Wijaya berada di Kebayoran Baru, alamat persis tidak terverifikasi."	https://www.tripadvisor.com/Attraction_Review-g294229-d34329562
37	King's Melody Lounge	Clubs & Bars	Sebagian	Bar & lounge	Jakarta Selatan	Kebayoran Baru (dari alamat/kodepos)	Jl. Melawai Raya No. 83-85, Amos Cozy Hotel, Jakarta Selatan 12160	Jl. Melawai Raya no. 83- 85 Amos Cozy Hotel, Jakarta, 12160	-6.24571,106.79899					Tidak diketahui	Lounge di dalam Amos Cozy Hotel Melawai; tidak ada ulasan/aktivitas di TripAdvisor sehingga status operasional tak terverifikasi (sumber: TripAdvisor listing).	https://www.tripadvisor.com/Attraction_Review-g294229-d13412708
38	Little Tokyo Blok M	Clubs & Bars	Sebagian	Kompleks hiburan	Jakarta Selatan	Kebayoran Baru	?	3, Jl. Melawai 6 No.15a, RT.3/RW.1, Melawai, Kec. Kby. Baru, Jakarta Selatan	-6.24408,106.80189					Tidak diketahui	Little Tokyo adalah sebutan informal untuk kawasan bar/izakaya bergaya Jepang di area Blok M (Kebayoran Baru) yang populer di kalangan komunitas Jepang, bukan satu venue tunggal; alamat spesifik tidak terverifikasi.	https://www.tripadvisor.com/Attraction_Review-g294229-d34277654
39	X2	Clubs & Bars	?	Klub malam / diskotek	?	?	?	Jl. Asia Afrika Plaza Senayan Floors 4-5, Jakarta, 10270	-6.22884,106.79827		+62215725560	4,6	10	Tidak diketahui	"Sumber alamat saling kontradiksi (Plaza Senayan vs FX Sudirman di sumber lain) dan indoclubbing menandai ""[CLOSED]""; tidak bisa diverifikasi lokasi/status pasti tanpa pencarian lanjutan."	https://www.tripadvisor.com/Attraction_Review-g294229-d10596133
40	Cilukba	Nightlife	?				?	Jalan-in dulu aja, Jakarta, 10220	-6.20396,106.82007		+62856-8020-714			Tidak diketahui	"Nama umum (""cilukba"" = permainan anak), tidak ditemukan profil venue fisik yang jelas; kategori TripAdvisor campuran ""bar, club & pub"" + ""adrenaline tours"" mencurigakan, kemungkinan listing keliru/spam."	https://www.tripadvisor.com/Attraction_Review-g294229-d15839393
41	Palembang	Clubs & Bars	?	 	?	?	?	Jakarta Pusat, Jakarta, 12071	-6.180511,106.828384		+62838-2162-1165			Tidak diketahui	"Nama ambigu, tidak ditemukan bisnis bernama ""Palembang"" di kategori Clubs & Bars Jakarta pada TripAdvisor maupun sumber lain yang bisa diverifikasi; kemungkinan listing usang/salah kategori."	https://www.tripadvisor.com/Attraction_Review-g294229-d23332050
42	Hw Superhouse Satrio	Clubs & Bars	BELUM DIKURASI					Jl. Prof. Dr. Satrio No.kav.6, Jakarta, 12940	-6.222663,106.822464			4	2		BELUM DIKURASI — kuota pencarian web sesi ini habis, perlu diulang	https://www.tripadvisor.com/Attraction_Review-g294229-d32842716
43	Koda	Clubs & Bars	BELUM DIKURASI					Jl. Jenderal Sudirman No.Kav 7-8 Sudirman 7.8, Jakarta, 10210	-6.208351,106.82076		+62822-9998-9678	4	2		BELUM DIKURASI — kuota pencarian web sesi ini habis, perlu diulang	https://www.tripadvisor.com/Attraction_Review-g294229-d32846804
44	Kode Jakarta	Clubs & Bars	BELUM DIKURASI					Jl. Cikatomas II No.24, Jakarta, 12180	-6.237106,106.813354		+62811-886-415	3,5	2		BELUM DIKURASI — kuota pencarian web sesi ini habis, perlu diulang	https://www.tripadvisor.com/Attraction_Review-g294229-d32846875
45	Zoo SCBD	Dance Clubs & Discos	BELUM DIKURASI					Jl. Jend. Sudirman Kav 52-53 No Lot 14, Senayan, Jakarta, 12190	-6.226396,106.80715		+62811-1651-200	4,5	2		BELUM DIKURASI — kuota pencarian web sesi ini habis, perlu diulang	https://www.tripadvisor.com/Attraction_Review-g294229-d31936914
46	Barna Karaoke Jakarta Selatan	Karaoke Bars	BELUM DIKURASI					Setia Budi One Jl. H. R. Rasuna Said No.kav.62 Building 3rd, Kuningan, Karet Kuningan	-6.20719,106.828156		+62822-2707-3005	5	1		BELUM DIKURASI — kuota pencarian web sesi ini habis, perlu diulang	https://www.tripadvisor.com/Attraction_Review-g294229-d32847439
47	Brexit Bar & Club	Clubs & Bars	BELUM DIKURASI					11, Jl. Kemang Raya No.20, Jakarta, 12730	-6.259756,106.815155		+62838-0591-0999	2	1		BELUM DIKURASI — kuota pencarian web sesi ini habis, perlu diulang	https://www.tripadvisor.com/Attraction_Review-g294229-d32847007
48	House Of Pats	Clubs & Bars	BELUM DIKURASI					Jl. K.h. Mas Mansyur No.41a, Jakarta, 10250	-6.206058,106.81709		+62811-9528-991	2	1		BELUM DIKURASI — kuota pencarian web sesi ini habis, perlu diulang	https://www.tripadvisor.com/Attraction_Review-g294229-d32963493
49	Sparta live bar	Clubs & Bars	BELUM DIKURASI					Jl. Kemang I 2,, Jakarta, 12730	-6.257733,106.814186			3	1		BELUM DIKURASI — kuota pencarian web sesi ini habis, perlu diulang	https://www.tripadvisor.com/Attraction_Review-g294229-d33665593
50	Zodiac Club	Dance Clubs & Discos	BELUM DIKURASI					Jl.n Senopati Raya 64, Jakarta, 12190	-6.231345,106.80896		+62878-8896-3422	4	1		BELUM DIKURASI — kuota pencarian web sesi ini habis, perlu diulang	https://www.tripadvisor.com/Attraction_Review-g294229-d33114577
51	KTV 999 Blok M	Karaoke Bars	BELUM DIKURASI					Jl Falatehan I No 08 Melawai, Jakarta, 12160	-6.283283,106.82255		+62852-1862-3847				BELUM DIKURASI — kuota pencarian web sesi ini habis, perlu diulang	https://www.tripadvisor.com/Attraction_Review-g294229-d33677755
52	Mad For Laughs	Comedy Clubs	BELUM DIKURASI					Jl. Asem II No.27, Cipete Selatan, Kec. Cilandak, Kota Jakarta Selatan	-6.272078,106.80164		+62812-1317-1032				BELUM DIKURASI — kuota pencarian web sesi ini habis, perlu diulang	https://www.tripadvisor.com/Attraction_Review-g294229-d33964051
53	Slot Deposit Qris 10k Gonbet	Clubs & Bars	BELUM DIKURASI					Indonesia Jl.diponegoro No.228, Jakarta, 20223	-3.432115,114.808975	KOORDINAT DI LUAR DKI	+62856-9851-286				BELUM DIKURASI — kuota pencarian web sesi ini habis, perlu diulang	https://www.tripadvisor.com/Attraction_Review-g294229-d33302916
54	W Superclub	Clubs & Bars	BELUM DIKURASI					Jalan Jenderal Sudirman, Kavling 52-53, Jakarta			+62811-1906-7167				BELUM DIKURASI — kuota pencarian web sesi ini habis, perlu diulang	https://www.tripadvisor.com/Attraction_Review-g294229-d25444430
55	Zero Inn	Clubs & Bars	BELUM DIKURASI					Jl. Jend. Sudirman Kav 52-53 No.28 Rt.8/rw.3, Jakarta, 12190	-6.194449,106.82292		+62878-7802-3000				BELUM DIKURASI — kuota pencarian web sesi ini habis, perlu diulang	https://www.tripadvisor.com/Attraction_Review-g294229-d32237701
56	Bartega	Wine Bars	Tidak		Jakarta Utara	Penjaringan (dari alamat/kodepos)	Jl. Pluit Timur No. 19, Jakarta Utara 14450	Jl. Senopati Raya no 8 WeWork - Revenue Tower, Jakarta, 12190	-6.23097,106.80904		+62811-9941-964	4,9	41	Aktif	"Sebenarnya studio ""paint-and-sip"" (melukis+wine), bukan bar malam; TripAdvisor salah kategori ""Wine Bars"" (sumber: bartega.com, Jakarta Post 2018)."	https://www.tripadvisor.com/Attraction_Review-g294229-d12721281
57	Cutie Cats Cafe	Nightlife	Tidak		Jakarta Selatan	Kebayoran Baru	Jl. Kemang I, Kemang, Jakarta Selatan	Jl. Kemang 1 No. 12F, Jakarta, 12150	-6.257705,106.813126		+62811-1004-560	3,5	35	Tutup permanen	Ini kafe kucing (cat cafe pertama Indonesia), bukan venue nightlife; sudah tutup permanen menurut Instagram resmi. Sumber: eatsjakarta.wordpress.com, Instagram @cutiecatscafe.	https://www.tripadvisor.com/Attraction_Review-g294229-d7812626
58	Jakarta NightLife Host	Nightlife	Tidak					Jl Gajah Mada, Taman Sari, west jakarta, Jakarta, 11140	-6.15475,106.81763			5,0	2	Tidak diketahui	Jasa pemandu/tur hiburan malam untuk turis pria (Sky Dining, klub, KTV, spa/massage), bukan venue tunggal; kontak via Instagram @nightlifehost (sumber: ulasan TripAdvisor).	https://www.tripadvisor.com/Attraction_Review-g294229-d17579254
