No.	Nama Penyelenggara - Organizer	Nama Pertunjukan - Name of Performance	Tanggal Pertunjukan - Date of Performance	Tempat Pertunjukan - Place of Performance	Jenis Pertunjukan - Type of Performance	Jumlah Pengunjung - Number of Visitor	Keterangan - Notes	Sumber
36	Color Asia Live	Boyce Avenue Live in Jakarta 2025	2025-04-27	Pullman Jakarta Central Park, Jakarta Barat	Konser Musik Internasional (Acoustic/Pop Rock)			https://www.bandsintown.com/e/106643654-boyce-avenue-at-pullman-jakarta-central-park
37	Museum MACAN	Kei Imazu: 'The Sea is Barely Wrinkled'	Mei 2025	Museum MACAN, Jakarta Barat	Seni Rupa / Pameran			https://www.detik.com/pop/culture/d-7801479/museum-macan-umumkan-3-pameran-seni-terbesar-sepanjang-2025
38		DAY6 3rd World Tour 'The DECADE' in Jakarta	2025-05-03	Jakarta International Stadium (JIS)	Konser Musik Internasional (K-pop)			https://www.kompas.com/hype/read/2025/01/06/115818566/daftar-jadwal-konser-kpop-di-indonesia-sepanjang-2025
39		2025 j-hope Tour 'HOPE ON THE STAGE' in Jakarta	2025-05-03	Indonesia Arena	Konser Musik Internasional (K-pop)	~16.500	kapasitas	https://www.setlist.fm/setlist/jhope/2025/indonesia-arena-jakarta-indonesia-b5d9566.html
40	New Art Collective (NAC)	Next to Normal (The Musical)	2025-05-07	Teater Wahyu Sihombing, Taman Ismail Marzuki (TIM)	Teater / Drama Musikal			https://www.lspr.ac.id/next-to-normal-teater-musikal-yang-mengangkat-tema-tentang-keluarga-dan-kesehatan-mental/
41	ADPRO	Musikal Bawang Merah Bawang Putih	2025-05-10	Galeri Indonesia Kaya, Jakarta Pusat	Teater / Drama Musikal		Musikal cerita rakyat (2 pertunjukan)	https://hypeabis.id/read/48545/cek-agenda-pentas-teater-musikal-menarik-sepanjang-mei-2025
42	Indonesia World Dance Festival (IWDF) / Pemprov DKI Jakarta	Indonesia World Dance Festival 2025	2025-05-11	Gelanggang Remaja Bulungan, Kebayoran Baru, Jakarta Selatan	Seni Tari	~800	peserta; 68 sanggar	https://era.id/nasional/177407/iwdf-2025-digelar-di-jakarta-68-sanggar-tari-jadi-peserta
43	Rajawali Indonesia Communication	Boyz II Men Live in Jakarta 2025	2025-05-21	Istora Senayan	Konser Musik Internasional (R&B)	~7.000	kapasitas	https://event.tempo.co/read/2009388/boyz-ii-men-gandeng-kahitna-di-jakarta
44	Jakarta Art House	Mamma Mia! The Musical Re-run 2025	2025-05-21 s/d 2025-06-01	Graha Bhakti Budaya, Taman Ismail Marzuki (TIM), Jakarta	Teater / Drama Musikal	12.000	14 pertunjukan; lisensi internasional, musik live ABBA	https://biz.kompas.com/read/2025/05/05/172905328/mamma-mia-the-musical-re-run-2025-hadirkan-14-pertunjukan-36-aktor-dan-nostalgia
45	Ciputra Artpreneur	Re-run Musikal Lutung Kasarung	2025-05-22	Ciputra Artpreneur, Jakarta	Teater / Drama Musikal			https://www.ciputraartpreneur.com/events/past-tag/musical-theater
46		Rossa - Here I Am Concert	2025-05-23	Indonesia Arena, GBK Senayan, Jakarta	Konser Musik Nasional (Pop)	12.000	sold out	https://www.tempo.co/teroka/rossa-manjakan-12-ribu-penonton-dalam-konser-here-i-am-1528206
47	Berlian Entertainment / Erajaya	SoundsFest 2025	2025-05-23 s/d 2025-05-25	Gambir Expo Kemayoran, JIExpo, Jakarta	Festival Musik (Multi-genre)		Edisi perdana Jakarta; 68 musisi; tema 'Magical Festival'	https://jakarta.akurat.co/lifestyle/110676/soundsfest-2025-resmi-hadir-di-jakarta-untuk-pertama-kalinya-pada-23-25-mei-nanti-simak-lineup-nya-berikut-ini
48	APPMI (Poppy Dharsono)	Indonesia Fashion Week (IFW) 2025	2025-05-28 s/d 2025-06-01	Jakarta Convention Center (JCC) Senayan, Jakarta	Fashion / Peragaan Busana		Tema 'Ronakultura Jakarta'; 200+ desainer	https://www.tempo.co/gaya-hidup/indonesia-fashion-week-2025-gandeng-200-desainer-1583496
49	Java Festival Production	BNI Java Jazz Festival 2025	2025-05-30 s/d 2025-06-01	JIExpo Kemayoran, Jakarta Pusat	Festival Musik (Jazz)			https://jakarta.akurat.co/lifestyle/1315791621/bni-java-jazz-festival-2025-kembali-hadir-di-jiexpo-kemayoran-pada-30-mei-hingga-1-juni-berikut-daftar-lineup-fase-pertama
50		NCT WISH Asia Tour 'Into the WISH' in Jakarta	2025-05-31	Tennis Indoor Senayan	Konser Musik Internasional (K-pop)	~5.000	kapasitas	https://www.socialexpat.net/list-of-k-pop-concerts-and-fan-meetings-in-indonesia-for-2025/
51	Antara Suara	.Feast - Pertunjukan Membangun & Menghancurkan	2025-05-31	Jakarta International Velodrome, Rawamangun, Jakarta Timur	Konser Musik Nasional (Rock)		sold out; 30.000 pendaftar pra-registrasi	https://www.detik.com/pop/music/d-7943378/feast-rayakan-kebangkitan-di-pertunjukan-membangun-menghancurkan
52	Dinas Kebudayaan DKI Jakarta	Festival Teater Tradisional Jakarta 2025	Juni 2025	Gedung Kesenian Jakarta, Jakarta Pusat	Seni Tradisional			https://seremonia.id/event/festival-teater-tradisional-2025-angkat-cerita-rakyat-jakarta-di-gedung-kesenian/
53	Sozo / AFA	Anime Festival Asia (AFA) Indonesia 2025	2025-06-06 s/d 2025-06-08	Jakarta Convention Center (JCC), Hall A, Senayan, Jakarta Pusat	Budaya Pop Jepang / Convention (ACG)		Edisi ke-9; ACG terbesar Asia Tenggara	https://animefestival.asia/afaid25/
54	FriedRice Entertainment	2025 BTOB FAN-CON '3,2,1 GO! MELympic' in Jakarta	2025-06-07	The Kasablanka Hall	Konser Musik Internasional (Fan-Con K-pop)			https://hypeabis.id/read/49285/6-konser-k-pop-fan-meeting-juni-2025-ada-babymonster-hingga-lee-do-hyun
55	Sepuluh Dua Empat (1024) x Seraya Live	Hindia - '25 On Blank Canvas	2025-06-07	Tennis Indoor Senayan, Jakarta	Konser Musik Nasional (Pop/Indie)		Showcase peluncuran mixtape	https://mediaaku.com/hindia-siap-memukau-jakarta-dengan-konser-intim-25-on-blank-canvas-pada-7-juni-2025/
56	Color Asia Live & Otello Asia	Heart & Soul Live in Jakarta 2025 (All-4-One & Brian McKnight)	2025-06-11	Tennis Indoor Senayan	Konser Musik Internasional (R&B)	~5.000	kapasitas	https://urbanvibes.id/2025/06/12/heart-soul-jakarta-2025-all-4-one-brian-mcknight-raisa-pukau-ribuan-penonton/
57	Delegasi Uni Eropa untuk Indonesia & lembaga kebudayaan Eropa	Europe on Screen 2025 (edisi ke-25)	2025-06-13 s/d 2025-06-22	Berbagai venue di Jakarta (kota utama, ~80% program)	Festival Film			https://www.eeas.europa.eu/delegations/indonesia/europe-screen-2025-celebrating-25-years-cinematic-exchange_en
58		2025 KAI (EXO) SOLO CONCERT TOUR <KAION> in Jakarta	2025-06-14	Tennis Indoor Senayan	Konser Musik Internasional (K-pop)		Konser solo perdana KAI di Jakarta	https://hypeabis.id/read/49285/6-konser-k-pop-fan-meeting-juni-2025-ada-babymonster-hingga-lee-do-hyun
59	Gaung Merah (Gudang Garam)	Konser Iwan Fals "Gaung Merah SeGALAnya"	2025-06-14	Eks Hanggar Teras Pancoran, Jakarta Selatan	Konser Musik Nasional (Balada/Pop)		Konser gratis; ribuan penonton	https://okjakarta.com/2025/06/konser-iwan-fals-dan-band-tkoos-jadi-epilog-spektakuler-di-ex-hanggar-teras-pancoran/
60	PT Jakarta International Expo (JIExpo) / Pemprov DKI Jakarta	Jakarta Fair Kemayoran 2025 (PRJ)	2025-06-19 s/d 2025-07-13	JIExpo Kemayoran, Jakarta Pusat	Acara Budaya / Pameran & Festival (rangkaian konser)	5.900.000	total pengunjung, sumber penyelenggara	https://www.jakartafair.co.id/post/jakarta-fair-kemayoran-2025-resmi-dibuka
61	JUNI Concert	Konser Tunggal Bernadya "Babak Penutup: Untungnya, Untungnya"	2025-06-20	Graha Bhakti Budaya, Taman Ismail Marzuki (TIM), Jakarta	Konser Musik Nasional (Pop)		Konser tunggal perdana	https://www.idntimes.com/hype/entertainment/harga-tiket-konser-bernadya-untungnya-untungnya-00-6x7yf-dv6lys
62	Visinema Studios & Indonesia Kaya	Musikal Keluarga Cemara 2025	2025-06-20 s/d 2025-07-13	Ciputra Artpreneur, Jakarta	Teater / Drama Musikal	~30.000	perkiraan, 30 pertunjukan; 30 pertunjukan	https://www.ciputraartpreneur.com/events/detail/musikal-keluarga-cemara-2025
63	Allo Bank / CT Corp	Allo Bank Festival 2025 (Jakarta)	2025-06-21 s/d 2025-06-22	Istora Senayan, Jakarta Pusat	Festival Musik (Multi-genre/Pop & K-Pop)			https://tirto.id/rundown-allo-bank-festival-2025-open-gate-cara-ke-venue-hdf6
64	Embassy of Italy & Italian Cultural Institute Jakarta	Bel Canto & Beyond: A Night at the Opera	2025-06-22	Gedung Kesenian Jakarta	Opera / Musik Klasik	~500+	perkiraan	https://winnicode.com/explore/berita/Budaya/warga-jakarta-haus-hiburan-berkualitas-a-night-at-the-opera-membludak-di-gedung-kesenian
65	Pemerintah Provinsi DKI Jakarta	Upacara & Pertunjukan Kolosal HUT ke-498 Jakarta (defile, tari kolosal Betawi)	2025-06-22	Kawasan Monumen Nasional (Monas), Jakarta Pusat	Seni Tradisional			https://megapolitan.kompas.com/read/2025/06/22/08360191/upacara-hut-jakarta-di-monas-dimeriahkan-defile-dan-tarian-kolosal
66	Pemprov DKI Jakarta (Dinas Kebudayaan)	Jakarnaval 2025	2025-06-22	Monas - Bundaran HI, Jakarta Pusat	Seni Tradisional / Karnaval Budaya		Karnaval budaya HUT ke-498 Jakarta	https://www.traveloka.com/id-id/explore/destination/daftar-event-acara-ulang-tahun-jakarta-2025-gt/592326
67		2025 STAYC TOUR [STAY TUNED] in Jakarta	2025-06-28	The Kasablanka Hall	Konser Musik Internasional (K-pop)			https://www.goersapp.com/blog/konser-kpop-jakarta-2025/
68		Lee Do Hyun Fanmeeting [Re DO HYUN] in Jakarta	2025-06-28	The Kasablanka Hall, Jakarta	Fan Meeting Hallyu (Aktor Korea)		Fan meeting perdana di Jakarta	https://www.tempo.co/hiburan/lee-do-hyun-gelar-fan-meeting-pertama-di-jakarta-28-juni-2025-1825294
69	Pemkot Jakarta Timur / Dinas Kebudayaan DKI	Festival Ondel-Ondel & Festival Palang Pintu 2025	2025-06-28	Taman Mini Indonesia Indah (TMII), Jakarta Timur	Seni Tradisional (Budaya Betawi)		Parade ondel-ondel, aksi palang pintu	https://www.tempo.co/hiburan/ragam-tradisi-dan-kesenian-di-lebaran-betawi-2025-1247731
70		Ailee: Ascend, Live in Jakarta	2025-07-05	The Kasablanka Hall	Konser Musik Internasional (K-pop)			https://www.liputan6.com/showbiz/read/6052051/bocoran-konser-ailee-ascend-live-in-jakarta-bakal-nyanyi-3-lagu-yang-belum-pernah-dibawakan-secara-live
71	Yayasan Indonesia Ballet / ballet.id	The Indonesian Ballet Gala 2025	2025-07-06	Graha Bhakti Budaya, Taman Ismail Marzuki (TIM)	Seni Tari			https://mediaindonesia.com/hiburan/788859/the-indonesian-ballet-gala-2025-tampilkan-bintang-balet-dunia
72	Pemerintah Provinsi DKI Jakarta	Jakarta dalam Warna (pagelaran tari kolosal Betawi & silat)	2025-07-06	Bundaran Hotel Indonesia (HI), Jakarta Pusat	Pertunjukan Budaya	7.000+	pengisi; 5.000 pesilat + 2.000 penari	https://www.jakarta.go.id/siaran-pers/5682-SP-HMS-07-2025
73	Jakarta Movin & Indonesia Kaya (Bakti Budaya Djarum Foundation)	Musikal Petualangan Sherina	2025-07-11	Graha Bhakti Budaya, Taman Ismail Marzuki (TIM)	Teater / Drama Musikal			https://www.djarumfoundation.org/aktivitas/musikal-petualangan-sherina-2025-kembali-hadir-merayakan-25-tahun-kisah-ikonik-di-panggung-pertunjukan-indonesia?lang=id
74	Dyandra Global Edutainment	2025 Jay Park World Tour [Serenades & Body Rolls] in Jakarta	2025-07-12	The Kasablanka Hall	Konser Musik Internasional (K-pop/Hip-Hop)		Tamu Ziva Magnolya & Ramengvrl	https://amp.kompas.com/hype/read/2025/07/12/193620166/jay-park-buka-konser-serenades-body-rolls-jakarta-dengan-ohx3
75	JUNI Records	Raisa - ambiVert Showcase	2025-07-23	Graha Bhakti Budaya, Taman Ismail Marzuki (TIM), Jakarta	Konser Musik Nasional (Pop)		Showcase peluncuran album kelima	https://jakarta.akurat.co/lifestyle/112995/raisa-ambivert-showcase-konser-dan-peluncuran-album-kelima-di-graha-bhakti-budaya-tim-pada-23-juli-2025-segini-harga-tiketnya
76	JF3 / Summarecon	JF3 Fashion Festival 2025	2025-07-24 s/d 2025-07-27	Summarecon Mall Kelapa Gading, Jakarta Utara	Fashion / Peragaan Busana		45+ desainer lokal & internasional; tema 'Recrafted'	https://www.indonesianjournal.id/jf3-fashion-festival-kembali-digelar-di-summarecon-mall-kelapa-gading-24-27-juli-2025/
77	Nadi Gallery	Ugo Untoro: 'Melukis Rintik yang Menolak Kering'	2025-07-24 s/d 2025-08-24	Nadi Gallery, Jakarta Barat	Seni Rupa / Pameran Tunggal		Pameran tunggal; kurator Sudjud Dartanto	https://www.kompas.id/artikel/pameran-tunggal-ugo-untoro-di-galeri-nadi
78	AEG Presents / TME Live / CK Star Entertainment	G-DRAGON 2025 WORLD TOUR [Übermensch] in Jakarta	2025-07-25	Indonesia Arena	Konser Musik Internasional (K-pop)	22.000	2 hari	https://www.cnnindonesia.com/hiburan/20250319111856-227-1210576/g-dragon-akan-konser-ubermensch-di-indonesia-arena-26-juli-2025
79	FriedRice Entertainment	2025 EVNNE Concert 'SET N GO' in Jakarta	2025-07-26	The Kasablanka Hall	Konser Musik Internasional (K-pop)		Penutup tur Asia	https://www.ntvnews.id/hiburan/0157179/pecah-evnne-sukses-gelar-konser-set-n-go-2025-di-jakarta-sebagai-penutup-tur-asia
80	54 Entertainment	La La Land in Concert	2025-07-26	JIExpo Kemayoran, Jakarta	Konser Musik Internasional (Film-Concert/Orkestra)		Iringan orkestra langsung (Twilite Orchestra); 2 pertunjukan	https://www.suara.com/entertainment/2025/08/17/093620/la-la-land-in-concert-sukses-pukau-ribuan-penonton-di-jiexpo-kemayoran-jakarta
81	Ciputra Artpreneur & Hi Jakarta Production	School of Rock: The Musical 2025	2025-07-26	Ciputra Artpreneur, Jakarta	Teater / Drama Musikal			https://www.ciputraartpreneur.com/events/detail/school-of-rock-the-musical-2025
82	Bengkelive / Bengkel Space SCBD	MALIQ & D'Essentials Intimate Concert (Bengkel SCBD 4th Anniversary)	2025-07-31	Bengkel Space, Fairgrounds SCBD, Jakarta Selatan	Konser Musik Nasional (Pop/Soul)		Intimate concert	https://matalelaki.com/event/read/bengkel-scbd-jakarta-4th-anniversary-day-1-maliq-d-essentials
83	Bozz Event (Soul 5.0)	Soul 5.0 with HONNE - The Ouch Tour	2025-08-02	The Kasablanka Hall	Konser Musik Internasional (Pop)			https://www.songkick.com/concerts/42650421-honne-at-kasablanka
84	Jakarta Concert Orchestra & The Resonanz (Avip Priatna)	Konser Simfoni untuk Bangsa 2025: 8 Dekade Musik Indonesia	2025-08-02	Graha Bhakti Budaya, Taman Ismail Marzuki (TIM)	Orkestra / Musik Klasik			https://www.kompas.com/hype/read/2025/08/02/183806766/konser-simfoni-untuk-bangsa-2025-hadirkan-perjalanan-musik-dalam-8-dekade
85	Art Moments Jakarta	Art Moments Jakarta 2025 (tema 'Restoration')	2025-08-07 s/d 2025-08-10	AGORA Exhibition Hall, Thamrin Nine, Jakarta Pusat	Seni Rupa / Art Fair			https://www.luxuo.com/culture/art/artmoments-jakarta-2025-returns-with-a-new-venue-and-renewed-focus.html
86	TServe / The Sounds Project	The Sounds Project 2025 (Vol. 8)	2025-08-08 s/d 2025-08-10	Ecovention & Ecopark Ancol, Jakarta Utara	Festival Musik (Multi-genre)			https://www.metrotvnews.com/read/b7WCgB7A-lebih-dari-110-musisi-meriahkan-the-sounds-project-2025
87	CK Star Entertainment	D.O. (EXO) ASIA TOUR 'DO it!' in Jakarta	2025-08-09	Indonesia Arena	Konser Musik Internasional (K-pop)	~16.500	kapasitas	https://www.kompas.com/hype/read/2025/08/09/192339566/do-exo-buka-konsernya-di-indonesia-arena-jakarta-annyeong-haseyo
88	Luppyverse Production	2025 Hyeri Fanmeeting Tour: Welcome to HYERI'S STUDIO in Jakarta	2025-08-09	The Kasablanka Hall, Jakarta Selatan	Fan Meeting Hallyu (Aktris/eks Girl's Day)		Fan meeting perdana di Jakarta	https://theseoulstory.com/upcoming-event-2025-hyeri-fanmeeting-tour-in-jakarta-welcome-to-hyeris-studio/
89	Teater Koma (sutradara Rangga Riantiarno)	Lakon "Mencari Semar" (produksi ke-235, HUT ke-48 Teater Koma)	2025-08-13	Ciputra Artpreneur, Jakarta	Teater / Drama Musikal			https://www.detik.com/pop/culture/d-8057708/teater-koma-siap-gelar-lakon-mencari-semar-13-17-agustus
90	Dyandra / LaLaLa Fest	LaLaLa Festival 2025	2025-08-22 s/d 2025-08-24	JIExpo Kemayoran, Jakarta Pusat	Festival Musik (Multi-genre, Internasional)			https://eventfest.id/events/lalala-festival-2025/
91	Galeri Cemara / komunitas fotografi	Rekam Jakarta 2025 - 'Metamorph'	2025-08-22 s/d 2025-08-28	Galeri Cemara, Menteng, Jakarta Pusat	Seni Rupa / Pameran Fotografi		Edisi ke-6; 53 fotografer	https://megapolitan.antaranews.com/berita/426601/wamenekraf-apresiasi-pameran-fotografi-rekam-jakarta-2025-sebagai-arsip-ibukota
