No.	Nama	Kategori TripAdvisor	Relevan Suvenir	Produk Utama	Alamat	Kota Administrasi	Kecamatan	Koordinat	Sumber Koordinat	Telepon	Rating	Jumlah Ulasan	Status	Catatan	URL TripAdvisor
11	Indies Gallery - Antique Maps & Prints of Indonesia	Toko Suvenir & Spesialisasi	Ya	Barang antik & peta kuno	Jl. Kemang Raya No. 8B Aksara Bookstore, Jakarta, 12730	Jakarta Selatan	Mampang Prapatan	-6.256469,106.81471	TripAdvisor	+62 813-1900-4269	3,0	2	Tidak diketahui	"Beralamat ""di dalam Aksara Bookstore Kemang"", namun Aksara Bookstore Kemang dilaporkan tutup permanen Des 2020; kemungkinan alamat sudah tidak berlaku. Sumber Jakarta Post/Detik."	https://www.tripadvisor.com/Attraction_Review-g294229-d18966670
12	Mariami	Toko Suvenir & Spesialisasi	Ya	?	Jl. Petogogan II No.32 Blok A, Jakarta, 12140	Jakarta Selatan	Kebayoran Baru	-6.25085,106.79397	TripAdvisor	+62 21 29126264	3,0	2	Tidak diketahui	Terdaftar di Tripadvisor kategori Gift & Specialty Shops namun produk spesifik tidak ditemukan (ulasan sangat sedikit); tidak bisa diverifikasi lebih lanjut.	https://www.tripadvisor.com/Attraction_Review-g294229-d15618584
13	Souvennir Tumbler Murah	Toko Suvenir & Spesialisasi	Ya	Suvenir custom/merchandise (tumbler custom)	Komplek MPR, Jl. Flamboyan No.B11, Jakarta, 12430	Jakarta Selatan	Cilandak	-6.282774,106.805466	TripAdvisor	+62 821-2339-7985	5,0	2	Aktif	Produsen/toko suvenir tumbler custom murah, alamat Komplek MPR Jl. Flamboyan (Pondok Labu, Cilandak) sesuai postcode 12430 (sumber: souvenirtumblermurah.com). Koordinat plausibel untuk area Cilandak.	https://www.tripadvisor.com/Attraction_Review-g294229-d32684407
14	Indonesia Senyum	Toko Suvenir & Spesialisasi	Ya	Suvenir custom/merchandise (kaos, aksesoris, poster bertema Jakarta)	Jl. Panglima Polim No.37, RT.1/RW.1, Melawai Tenant Inside M Bloc Market, Jakarta, 12160	Jakarta Selatan	Kebayoran Baru	-6.241794,106.79899	TripAdvisor		5,0	1	Tidak diketahui	Tenant kecil di M Bloc Market Melawai menjual aksesoris, kaos, dan poster bertema Jakarta versi kartun — disebut sebagai tempat suvenir otentik Jakarta (sumber: ulasan TripAdvisor Des 2024). Koordinat cocok dengan lokasi M Bloc Market. Status operasional tidak dapat dipastikan lebih lanjut.	https://www.tripadvisor.com/Attraction_Review-g294229-d32709906
15	Oleholehku.id	Toko Suvenir & Spesialisasi	Ya	Oleh-oleh UMKM (makanan & kerajinan)	Jalan Plot DKI, Block D9 Duren Palm Sub-district, Jakarta, 13440	Jakarta Timur	Duren Sawit	-6.230917,106.914639	Koreksi riset		5,0	1	Aktif	"Toko oleh-oleh UMKM binaan Dinas PPKUKM DKI, alamat asli Duren Sawit (bukan ""Duren Palm"" spt di data), sesuai artikel disppkukm.jakarta.go.id; koordinat sumber (-6.130224,106.706795) berada di wilayah Jakarta Barat, jauh dari Duren Sawit (~-6.23,106.91) — koreksi adalah titik kelurahan Duren Sawit (perkiraan, bukan alamat toko persis)"	https://www.tripadvisor.com/Attraction_Review-g294229-d25159960
16	Poster House 77	Toko Suvenir & Spesialisasi	Ya	Poster vintage & suvenir custom	Jalan Kemang Timur Raya No 77, Jakarta, 12730	Jakarta Selatan	Mampang Prapatan	-6.259977,106.82344	TripAdvisor	+62 877-2347-6577	5,0	1	Aktif	Toko poster vintage/suvenir di Kemang Timur, kel. Bangka; terverifikasi via TripAdvisor & kodepos.id, koordinat sesuai area Bangka-Mampang Prapatan	https://www.tripadvisor.com/Attraction_Review-g294229-d23027735
17	Souvenir Tumbler Murah	Toko Suvenir & Spesialisasi	Ya	Suvenir custom/merchandise	Jl. Flamboyan No.B11, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, Jakarta, 12430	Jakarta Selatan	Cilandak	-6.283486,106.80547	TripAdvisor	+62 812-9907-6453	5,0	1	Aktif	Vendor suvenir custom (tumbler, mug, boneka) grosir min. 500pcs, alamat sesuai situs souvenirtumblermurah.com; kecamatan dari alamat/kodepos	https://www.tripadvisor.com/Attraction_Review-g294229-d34036099
18	Batik KoenoKoeni	Toko Suvenir & Spesialisasi	Ya	Batik	Jl. Cipete Raya no. 8A, Jakarta, 12410	Jakarta Selatan	Cilandak	-6.27773,106.80483	TripAdvisor	+62 21 22705821			Tidak diketahui	Toko pakaian batik (kemeja/blus) di Jl. Cipete Raya No.8A; kecamatan Cilandak dari kodepos 12410/near-place.com; IG @batikkoenokoeni ada tapi aktivitas terbaru tidak terverifikasi	https://www.tripadvisor.com/Attraction_Review-g294229-d12778506
19	Khas Jakarta Kota Tua	Toko Suvenir & Spesialisasi	Ya	Oleh-oleh makanan & suvenir khas Jakarta	Jl. Taman Fatahillah No.3 Kota Tua Post Office, Jakarta, 11110	Jakarta Barat	Taman Sari	-6.134133,106.81322	TripAdvisor	+62 896-7880-8034			Aktif	Toko oleh-oleh (dodol Betawi, bir pletok, kaos, gantungan kunci, batik) di kawasan Taman Fatahillah; sumber Okezone & Tripadvisor.	https://www.tripadvisor.com/Attraction_Review-g294229-d17713976
20	Maison Amare Studio	Toko Suvenir & Spesialisasi	Ya	Suvenir custom/merchandise (parfum custom)	Jl. Letjen S.Parman No.Kav 21 Mal Taman Anggrek, Lt. G, Jakarta, 11470	Jakarta Barat	Grogol Petamburan	-6.178342,106.792595	TripAdvisor	+62 823-1334-9096			Aktif	Studio parfum custom Korea (KPIA) di Mal Taman Anggrek — pengunjung meracik dan membawa pulang parfum sendiri sebagai suvenir/gift (sumber: maisonamare.com, corner.inc). Koordinat sangat cocok dengan lokasi Mal Taman Anggrek.	https://www.tripadvisor.com/Attraction_Review-g294229-d33053752
21	Neng Mae	Toko Suvenir & Spesialisasi	Ya	Oleh-oleh makanan (jajanan Betawi)	Jl. Rorotan IV No.51, RT.10/RW.06, Rorotan, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14140, Jakarta, 14140	Jakarta Utara	Cilincing	-6.151821,106.95545	TripAdvisor	+62 813-1211-6030			Aktif	"Toko oleh-oleh Jakarta ""Neng Mae"" (IG @nengmae.id, PIRT & Halal MUI, toko offline di Rorotan); juga terdaftar di GoFood/GrabFood sbg Jajanan Betawi Neng Mae"	https://www.tripadvisor.com/Attraction_Review-g294229-d34469473
22	Royalkueid	Toko Suvenir & Spesialisasi	Ya	Oleh-oleh makanan (bakpao gandum halal)	Pantai Indah Kapuk St. Fresh Market PIK, TP 22, Jakarta, 14470	Jakarta Utara	Penjaringan	-6.104652,106.74207	TripAdvisor	+62 813-8265-9808			Aktif	Usaha bakpao gandum halal (aneka rasa) di Fresh Market PIK, Kamal Muara, Penjaringan (sumber: instagram.com/royalkueid, youtube Royal Kue ID). Koordinat cocok dengan lokasi Fresh Market PIK.	https://www.tripadvisor.com/Attraction_Review-g294229-d32867928
23	Sidikalang Jaya Coffee Store	Toko Suvenir & Spesialisasi	Ya	Oleh-oleh makanan (kopi)	Jl. Seni Budaya Raya No.7A, Jakarta, 11460	Jakarta Barat	Grogol Petamburan		Koordinat TripAdvisor salah, belum ada koreksi	+62 816-1717-8119			Aktif	Toko kopi grosir/eceran sejak 1984; alamat terverifikasi di Jelambar Baru (dekat Jl. Jelambar Utara) tapi koordinat yang diberikan (-6.1878,106.79098) meleset ~4km dari pusat Jelambar Baru (~-6.150,106.783); tidak ditemukan koordinat pengganti presisi dari sumber tepercaya. Sumber infokopi.com.	https://www.tripadvisor.com/Attraction_Review-g294229-d20110209
24	Cikini Gold Center	Toko Suvenir & Spesialisasi	Sebagian	Perhiasan/emas	Jln. Pegangsaan Barat/Timur, Jakarta, 10320	Jakarta Pusat	Menteng	-6.198286,106.84164	TripAdvisor	+62 131 9090 88	4,0	322	Aktif	Pusat pertokoan emas/perhiasan 7 lantai (60+ toko), bukan suvenir turis tapi jadi daya tarik belanja; alamat & kec. dari Waze/KF Map (Jl. Pegangsaan Timur No.9, Menteng), koordinat cocok area Menteng	https://www.tripadvisor.com/Attraction_Review-g294229-d6725477
25	Tanah Abang Market	Pasar Loak & Pasar Jalanan	Sebagian	Tekstil/batik grosir	Jl. Fachrudin 5 Stasiun Pasarsenen, Jakarta, 10250	Jakarta Pusat	Tanah Abang	-6.187184,106.8153	TripAdvisor		3,8	307	Aktif	Pasar grosir pakaian & batik terbesar Jakarta; suvenir bukan fokus utama, lebih ke tekstil/fashion grosir. Sumber: Tripadvisor, Waze (Pasar Tanah Abang Blok A, Jl. K.H. Fachrudin)	https://www.tripadvisor.com/Attraction_Review-g294229-d3640861
26	Pasaraya, the Pride of Indonesia	Toko Suvenir & Spesialisasi	Sebagian	Pasar campuran (department store dgn batik/kerajinan)	Blok M Jln. Iskandarsyah II 2 Kebayoran Baru, Jakarta, 12160	Jakarta Selatan	Kebayoran Baru	-6.241865,106.800766	TripAdvisor	+62 622 18312674	3,9	74	Aktif	Department store lama (sejak 1958) di Jl Iskandarsyah II No.2, Kebayoran Baru; masih beroperasi (situs resmi pasaraya.id aktif) meski okupansi menurun. Sumber: pasaraya.id, kumparan.com.	https://www.tripadvisor.com/Attraction_Review-g294229-d3264840
27	Pasar Asemka	Toko Suvenir & Spesialisasi	Sebagian	Suvenir custom/merchandise & aksesori grosir	Jl. Raya Pantura, Jakarta, 11110	Jakarta Barat	Taman Sari	-6.138857,106.81249	TripAdvisor		3,9	43	Aktif	Pusat grosir aksesori & suvenir di Jl Asemka No.33, Pinangsia, Kec. Taman Sari; pengunjung menurun tapi masih beroperasi. Sumber: flokq.com, investortrust.id.	https://www.tripadvisor.com/Attraction_Review-g294229-d3845753
28	Mangga Dua Morning Market	Pasar Loak & Pasar Jalanan	Sebagian	Pasar campuran (fashion, kerajinan manik-manik, alat tulis)	Jl. Mangga Dua Raya, Jakarta, 14430	Jakarta Utara	Pademangan	-6.13629,106.821884	TripAdvisor	+021 600 4840	3,8	33	Aktif	Pasar grosir pakaian 5 lantai (Pasar Pagi Mangga Dua), kelurahan Ancol, kec. Pademangan, kodepos 14430; ada toko kerajinan manik-manik tapi mayoritas fashion grosir. Sumber: kumparan.com, idalamat.com	https://www.tripadvisor.com/Attraction_Review-g294229-d8330603
29	Pasar Ular	Toko Suvenir & Spesialisasi	Sebagian	Pasar campuran (pakaian/sepatu branded KW, aksesori)	Jln. Plumpang B, Jakarta, 14230	Jakarta Utara	Koja	-6.12357,106.90005	TripAdvisor		3,6	10	Aktif	Pasar di Jl Plumpang Semper/Inspeksi Kali Sunter, Rawa Badak Selatan, Kec. Koja; makin sepi pembeli namun masih buka per 2024-2025. Sumber: kompas.com, detik.com, beritajakarta.id.	https://www.tripadvisor.com/Attraction_Review-g294229-d3844811
30	Pasar Tebet Barat	Pasar Loak & Pasar Jalanan	Sebagian	Pasar campuran (kebutuhan sehari-hari, ada penjual suvenir kecil)	Jl. Tebet Barat Dalam Raya, Jakarta, 12810	Jakarta Selatan	Tebet	-6.23449,106.84656	TripAdvisor		4,0	3	Aktif	"Pasar tradisional harian; disebutkan ada ""souvenir vendors"" tapi mayoritas sembako/kuliner, bukan tujuan wisata suvenir. Alamat resmi: Jl. Tebet Barat Dalam Raya No.11, Kec. Tebet, Jakarta Selatan 12810 (pasarjaya.co.id). Sumber: flokq.com, saungmaman.com"	https://www.tripadvisor.com/Attraction_Review-g294229-d12459860
31	By The Sea Mall	Toko Suvenir & Spesialisasi	Sebagian	Distrik belanja lokal (fashion, kecantikan, F&B)	Pantai Maju Golf Island Pik Pik 2, Jakarta	Jakarta Utara	Penjaringan				4,5	2	Aktif	Kawasan belanja semi-outdoor di Golf Island/Pantai Maju, PIK2, kel. Kamal Muara; lat/lng tidak tersedia di data sumber sehingga tak bisa divalidasi; sumber: CNN Indonesia, Tempo, situs resmi Golf Island	https://www.tripadvisor.com/Attraction_Review-g294229-d25090320
32	Cocona Care	Toko Suvenir & Spesialisasi	Sebagian	Produk perawatan tubuh minyak kelapa (bisa jadi oleh-oleh)	Jl RS Fatmawati no. 39, Jakarta, 12430	Jakarta Selatan	Cilandak	-6.28647,106.79553	TripAdvisor	+62 21 75906515	4,5	2	Aktif	Toko produk body care berbahan virgin coconut oil, juga ada cabang Bali; alamat Jl. RS Fatmawati No.39 Cilandak (littlestepsasia.com, facebook.com/CoconaCareID)	https://www.tripadvisor.com/Attraction_Review-g294229-d11864940
33	Gema Collection	Toko Suvenir & Spesialisasi	Sebagian	Kain/tekstil (pasar campuran Mayestik)	Jl. Tebah III No.107 Mayestik Market, Jakarta, 12120	Jakarta Selatan	Kebayoran Baru				2,0	1	Tidak diketahui	Tenant di dalam Pasar Mayestik (pasar kain/tekstil), bukan toko suvenir spesifik; rating rendah (2.0, 1 ulasan) di TripAdvisor, tidak ditemukan situs/sosmed resmi untuk verifikasi lebih lanjut. Tidak ada lat/lng di data asal sehingga validitas koordinat tidak dapat dinilai.	https://www.tripadvisor.com/Attraction_Review-g294229-d28564979
34	Hublife Mall	Toko Suvenir & Spesialisasi	Sebagian	Pusat perbelanjaan campuran (F&B, ritel, ice-skating)	Jl. Tanjung Duren Timur No.2, Rt.12/rw.5, Tj. Duren Selatan, Jakarta, 11470	Jakarta Barat	Grogol Petamburan				4,0	1	Aktif	Mal di Tj. Duren Timur (Taman Anggrek Residences), kel. Tanjung Duren Selatan; lat/lng tidak tersedia di data sumber sehingga tak bisa divalidasi; sumber: hublife.co.id, TripAdvisor	https://www.tripadvisor.com/Attraction_Review-g294229-d25066794
35	KIRANA LIVIN at Alun Alun Indonesia	Toko Suvenir & Spesialisasi	Sebagian	Pasar campuran (kerajinan, batik, kuliner khas)	Grand Indonesia, West Mall, 3rd Floor, Jl. MH Thamrin No.1, RT.1/RW.5 Menteng, Jakarta, 10310	Jakarta Pusat	Menteng	-6.196113,106.822945	TripAdvisor	+62 21 23580890			Aktif	Merupakan bagian dari Alun Alun Indonesia, department store budaya Indonesia (fashion, perhiasan, kerajinan, kuliner) di lt.3 West Mall Grand Indonesia; sumber: grand-indonesia.com & tripadvisor	https://www.tripadvisor.com/Attraction_Review-g294229-d34473610
36	Cosma Studio.id	Toko Suvenir & Spesialisasi	?	?	Jl Mandala Utara IV No 26 Rt 6 Rw 6 Tomang, Jakarta, 11440	Jakarta Barat	Grogol Petamburan	-6.172637,106.79731	TripAdvisor	+62 811-1800-518			Tidak diketahui	"Tidak ditemukan info spesifik ttg ""Cosma Studio.id"" di Mandala Utara IV Tomang; tidak bisa diverifikasi jenis usahanya. Kecamatan dari alamat (Tomang) & kodepos 11440"	https://www.tripadvisor.com/Attraction_Review-g294229-d34469706
37	Gong-Ye	Toko Suvenir & Spesialisasi	?	?	Jl. Daan Mogot KM.1 No.45, Jakarta, 11470	Jakarta Barat	Grogol Petamburan	-6.16576,106.783295	TripAdvisor	+62 821-9601-5530			Tidak diketahui	Tidak ditemukan info memadai selain listing TripAdvisor (dikategorikan sbg museum di TripAdvisor ID, No.58/73 museum Jakarta); kecamatan dari kodepos 11470 (Grogol Petamburan)	https://www.tripadvisor.com/Attraction_Review-g294229-d34311250
38	Aneka Foto	Toko Suvenir & Spesialisasi	Tidak		Jl. Samanhudi No.19-20 Blok AKS Metro Atom Plaza, RT.20/RW.3, Ps. Baru, Jakarta, 10710	Jakarta Pusat	Sawah Besar	-6.1656,106.8306	Koreksi riset	+62 21 3457933	5,0	18	Aktif	Toko kamera & fotografi sejak 1991 di Metro Atom Plaza Pasar Baru, bukan toko suvenir (sumber: anekafoto.com, tripadvisor). Koordinat asli (-6.2838,106.7804) jauh dari Pasar Baru/Sawah Besar (sekitar 15km); koreksi ke titik Metro Atom Plaza Pasar Baru (perkiraan umum, belum diverifikasi presisi GPS).	https://www.tripadvisor.com/Attraction_Review-g294229-d28114445
39	Fish Market (Pasar Ikan)	Pasar Loak & Pasar Jalanan	Tidak		Jln. Sunda Kelapa, Jakarta, 14440	Jakarta Utara	Penjaringan	-6.12347,106.81047	TripAdvisor		3,7	17	Aktif	"Nama jalan/kawasan historis ""Jalan Pasar Ikan"" dekat Museum Bahari & Pelabuhan Sunda Kelapa, Kota Tua; bukan toko suvenir. Kecamatan dari kodepos 14440 (Penjaringan)"	https://www.tripadvisor.com/Attraction_Review-g294229-d379326
40	Rawa Belong Flower Market	Toko Suvenir & Spesialisasi	Tidak		Jalan Sulaiman Raya No.50, Jakarta, 11540	Jakarta Barat	Kebon Jeruk	-6.205949,106.77842	TripAdvisor		3,8	12	Aktif	Pasar bunga terbesar se-Asia Tenggara di Jl Sulaiman No.50/56, Sukabumi Utara, Kec. Kebon Jeruk; bukan toko suvenir. Koordinat input cocok dengan titik Google Maps. Sumber: google maps, wanderlog.com.	https://www.tripadvisor.com/Attraction_Review-g294229-d6598992
41	Galeries Lafayette	Toko Suvenir & Spesialisasi	Tidak		Pacific Place Mall, SCBD Jl. Jend. Sudirman, Jakarta	Jakarta Selatan	Kebayoran Baru	-6.22798,106.80896	TripAdvisor	+62 21 57973343	4,2	10	Aktif	Department store fashion mewah di Pacific Place, SCBD, Kel. Senayan, Kec. Kebayoran Baru; bukan toko suvenir/oleh-oleh, masih terdaftar aktif di direktori pacificplace.co.id. Sumber: pacificplace.co.id, map.co.id.	https://www.tripadvisor.com/Attraction_Review-g294229-d4424695
42	Electronic City	Toko Suvenir & Spesialisasi	Tidak		Jl. Jenderal Sudirman Kav. 52-53 Sudirman Central Business District, Jakarta, 12190	Jakarta Selatan	Kebayoran Baru	-6.2261,106.8114	Koreksi riset	+62 21 1500032	3,1	8	Aktif	Toko elektronik, bukan suvenir. Koordinat asal (-6.34,106.85) meleset jauh ke selatan (area Jagakarsa), lokasi asli SCBD Senayan/Kby Baru sekitar -6.226,106.811 (Google Maps via Wanderlog); reopening store dikonfirmasi Nov 2024	https://www.tripadvisor.com/Attraction_Review-g294229-d8403837
43	Gembrong Market	Toko Suvenir & Spesialisasi	Tidak		Jakarta, 13320	Jakarta Timur	Jatinegara				3,3	6	Aktif	Pasar mainan anak grosir/eceran di Jl Jend Basuki Rachmat, Prumpung/Cipinang Besar Utara, Kec. Jatinegara; bukan kategori suvenir wisata. Tidak ada koordinat pada data sumber sehingga tidak bisa divalidasi. Sumber: tribunjakarta.com, jejakpiknik.com.	https://www.tripadvisor.com/Attraction_Review-g294229-d6536286
44	Muara Baru Modern Fish Market	Pasar Loak & Pasar Jalanan	Tidak		Jl. Muara Baru Raya North Jakarta City, Jakarta, 14440	Jakarta Utara	Penjaringan	-6.12129,106.80384	TripAdvisor		3,8	5	Aktif	Pasar ikan modern (PIM), diresmikan 2019, bukan toko suvenir. Sumber: setkab.go.id, galontrip.wordpress.com	https://www.tripadvisor.com/Attraction_Review-g294229-d17531744
45	Pusat Promosi Ikan Hias Sumenep	Toko Suvenir & Spesialisasi	Tidak		Jln. Sumenep, Jakarta, 10310	Jakarta Pusat	Menteng	-6.19974,106.82537	TripAdvisor		3,6	5	Aktif	Sentra ikan hias di Jl Sumenep No.4, Kec. Menteng; bukan toko suvenir. Sumber: beritajakarta.id, tribunnews.com.	https://www.tripadvisor.com/Attraction_Review-g294229-d6579516
46	Chandraprima Money Changer	Toko Suvenir & Spesialisasi	Tidak		Wahid Hasyim street number 185. Tanah abang Afindo cargo room number 222, Jakarta, 10250	Jakarta Pusat	Tanah Abang	-6.187398,106.81649	TripAdvisor	+62 851-0368-7688	4,0	4	Aktif	Penukaran uang asing (money changer) di Gedung Afindo, Jl. K.H. Wahid Hasyim, kel. Kebon Kacang; punya situs resmi chandraprima.com dengan jam operasional; koordinat sesuai area Tanah Abang	https://www.tripadvisor.com/Attraction_Review-g294229-d25408428
47	Dayana TOBACCO	Toko Suvenir & Spesialisasi	Tidak		Jl. Iskandarsyah Raya no. 65 Hotel Grandhika Iskandarsyah - M Level, Jakarta, 12160	Jakarta Selatan	Kebayoran Baru	-6.244306,106.80375	TripAdvisor	+62 21 73910443	5,0	4	Aktif	Toko cerutu/tembakau premium est.1997 di Hotel GranDhika Iskandarsyah, Melawai; website dayanatobacco.com masih ada; kecamatan Kebayoran Baru dari kodepos 12160/lokasi hotel	https://www.tripadvisor.com/Attraction_Review-g294229-d12017934
48	Hype Festival	Pasar Loak & Pasar Jalanan	Tidak		Jln. Pantai Indah, Jakarta, 14420	Jakarta Utara	Penjaringan	-6.12155,106.83383	TripAdvisor	+62 852-1888-8810	3,8	4	Aktif	Bazaar/pop-up market bulanan (weekend) di kawasan Pantai Indah Kapuk berisi F&B dan fashion, bukan toko suvenir/kerajinan tetap. Sumber: Tripadvisor, kompas.com	https://www.tripadvisor.com/Attraction_Review-g294229-d8728059
49	Arafah Collection	Toko Suvenir & Spesialisasi	Tidak		Thamrin City Block C35 Nomor 18-21  Jln. Jakarta, Jakarta, 10730	Jakarta Pusat	Tanah Abang	-6.1913,106.8172	Koreksi riset	+62 21 31990936	4,0	1	Aktif	Toko busana muslim (gamis/abaya/kaftan gaya Timur Tengah) di Thamrin City Blok C35, Waduk Melati, Kec. Tanah Abang — bukan toko suvenir. Koordinat input meleset jauh (area Kembangan/Jakarta Barat), dikoreksi ke perkiraan lokasi Thamrin City (perkiraan, belum diverifikasi presisi). Sumber: trip.com, thamrincity.co.id.	https://www.tripadvisor.com/Attraction_Review-g294229-d5966692
50	BIASA Jakarta	Toko Suvenir & Spesialisasi	Tidak		Jl. Kemang Raya No.20, Jakarta, 12730	Jakarta Selatan	Mampang Prapatan	-6.259716,106.815125	TripAdvisor	+62 21 7182322	5,0	1	Aktif	Butik fashion resort-wear asal Bali (bukan toko oleh-oleh/suvenir); sumber biasagroup.com.	https://www.tripadvisor.com/Attraction_Review-g294229-d19453565
