destinasi	periode_angka	wisnus	wisman	total	satuan_cakupan	sumber_nama	sumber_url	tanggal_terbit	catatan
Jakarta Aquarium Safari (Neo Soho)	TIDAK DITEMUKAN			-	-		2026-08-07	Tidak ditemukan angka pengunjung spesifik Juli 2026 dari sumber resmi/media (Taman Safari Group, Kompas, Detik, Tempo, Antara). Berita yang ada hanya membahas atraksi/promo musim libur sekolah (mis. tema "Summer in Sea-taly") tanpa data kunjungan. Data terdekat yang tersedia adalah periode 1-29 Oktober 2025 (~37.000 pengunjung), di luar cakupan Juli 2026 sehingga tidak dimasukkan sebagai angka Juli.
Museum Nasional Indonesia	TIDAK DITEMUKAN			-	-		2026-08-07	Tidak ditemukan angka pengunjung Museum Nasional Indonesia (IHA/Kementerian Kebudayaan) spesifik untuk Juli 2026. Yang tersedia hanya: target tahunan 780.000 pengunjung untuk 2026 (Kepala Museum dan Cagar Budaya Indira Esti Nurjadin), realisasi 2025 >730.000 (674.000 wisnus + sisanya wisman/tamu resmi), dan angka gabungan seluruh unit BLU Museum dan Cagar Budaya (bukan MNI saja) selama musim libur sekolah Juli 2026: 118.510 pengunjung (naik 13,15% dari 104.733 pada Juli 2025) - sumber Antara, https://www.antaranews.com/berita/5651312/kunjungan-ke-museum-naik-1315-persen-pada-musim-libur-sekolah, terbit 15 Juli 2026, dikutip dari Indira Esti Nurjadin. Angka ini agregat lintas museum sehingga tidak dimasukkan sebagai angka MNI di kolom total.
Museum Sejarah Jakarta (Museum Fatahillah)	TIDAK DITEMUKAN			-	-		2026-08-07	Tidak ditemukan angka pengunjung Juli 2026. Data terdekat yang tersedia adalah dari program museum gratis HUT ke-499 Jakarta pada 27-28 Juni 2026 (di luar Juli): 12.078 pengunjung Sabtu (27/6) dan 14.983 pengunjung Minggu (28/6), rekor kunjungan harian tertinggi sejak pandemi Covid-19 dan pertama kali tembus 10 ribu/hari - sumber Faktual Indonesia, https://faktualid.com/wisata/mahya/museum-gratis-hut-jakarta/, terbit 30 Juni 2026, dikutip dari Retno Ayati, Kepala Unit Pengelola Museum Kesejarahan Jakarta. Tidak ada rincian wisnus/wisman pada sumber ini.
Planetarium Jakarta (TIM)	TIDAK DITEMUKAN	-	-	-	-	-	-	-	Tidak ditemukan angka pengunjung bulanan Juli 2026. Yang ada hanya: kuota 200/show (100 online+100 OTS, Rp10rb/tiket, mulai jual online 30 Jun 2026, via loket.com — https://travel.kompas.com/read/2026/07/01/123800227/jadwal-teater-bintang-planetarium-jakarta-juli-2026-ada-perubahan-jam, IDN Times); dan angka lain dari periode berbeda: 67.198 pengunjung kawasan TIM (Planetarium jadi magnet utama) selama libur Nataru 22 Des 2025-3 Jan 2026, bukan Juli — https://jakarta.tribunnews.com/jakarta/428547/tim-diserbu-67-ribu-pengunjung-selama-libur-natal-tahun-baru-2026-planetarium-jadi-magnet-utama. Kompas.id (artikel lain soal TIM) tidak bisa diakses (paywall/402).
Pos Bloc Jakarta	TIDAK DITEMUKAN	-	-	-	-	-	-	-	Tidak ada rilis/pemberitaan angka pengunjung Juli 2026 dari M Bloc Group/Pos Bloc yang ditemukan. Satu-satunya angka yang beredar (~2.000 pengunjung/hari) berasal dari peresmian awal Sep 2021, bukan data Juli 2026 — https://www.posindonesia.co.id/en/articles/detail/peresmian-ruang-kreatif-publik-pos-bloc-jakarta.
Taman Lapangan Banteng	19 Juli 2026	-	-	14000	periode parsial	Siaran Pers Pemprov DKI Jakarta (jakarta.go.id); juga diberitakan detikcom, Viva, NU Online Jakarta, Jakarta Review, Koran Jakarta	https://www.jakarta.go.id/siaran-pers/6877-SP-HMS-07-2026	2026-07-19	Angka "hampir 14 ribu warga" adalah jumlah hadirin acara Festival Rakyat Bola Gembira/nobar Final Piala Dunia 2026 pada Minggu 19 Juli 2026 (dihadiri Wagub DKI Rano Karno), BUKAN total kunjungan taman sepanjang bulan Juli dan bukan angka resmi Dinas Pariwisata. Artikel detik.com terpisah (26 Jun 2026) soal keramaian libur sekolah di taman ini tidak menyebutkan angka numerik apa pun — https://travel.detik.com/fototravel/d-8548987/libur-sekolah-piknik-di-taman-lapangan-banteng-jadi-favorit-warga-jakarta.
RTH Tebet Eco Park	TIDAK DITEMUKAN	-	-	-	-	-	-	-	Tidak ditemukan angka realisasi kunjungan Juli 2026. Yang tersedia hanya batas KUOTA (bukan realisasi): maksimal 4.000 pengunjung/hari Senin-Jumat dan 5.000/hari Sabtu-Minggu, reservasi via aplikasi JAKI — https://smartcity.jakarta.go.id/en/blog/cara-mendaftar-kunjungan-tebet-eco-park/, https://www.99.co/id/jelajah/review-tebet-eco-park.
Old Shanghai (Sedayu City, Jakarta Timur)	TIDAK DITEMUKAN	-	-	-	-	-	-	-	Tidak ditemukan angka resmi Juli 2026 dari Agung Sedayu Group. Beredar klaim media "15 ribu orang sehari" (depok.inews.id/RCTI+) tetapi tanggal terbit & periode persisnya tidak bisa diverifikasi (artikel tidak dapat diakses, error 403) sehingga TIDAK dipakai sebagai angka Juli 2026 — https://depok.inews.id/read/550804/15-ribu-orang-sehari-old-shanghai-sedayu-city-jadi-destinasi-baru-bikin-nostalgia-dan-ketagihan.
Perkampungan Budaya Betawi Setu Babakan	TIDAK DITEMUKAN	-	-	-	-	-	-	-	Tidak ditemukan angka kunjungan Juli 2026 dari UP PBB Setu Babakan/Dinas Kebudayaan DKI maupun beritajakarta.id. Artikel yang ditemukan soal "gebyar seni budaya HUT ke-499 Jakarta" di Setu Babakan tidak memuat angka pengunjung — https://www.antaranews.com/berita/5616347/setu-babakan-gelar-gebyar-seni-budaya-sambut-hut-ke-499-jakarta. Data pengunjung yang ada di beritajakarta.id (mis. 1.617/1.226/2.122 orang) merujuk pada periode H+1/H+2/H+3 Lebaran, bukan Juli.
Kepulauan Seribu	TIDAK DITEMUKAN	-	-	-	-	-	-	-	Tidak ditemukan angka kunjungan bulanan/musiman Juli 2026 dari Sudin Pariwisata & Ekonomi Kreatif Kab. Adm. Kepulauan Seribu. Angka terdekat yang ada semuanya di luar Juli: 2.531 wisatawan (25 wisman + 2.506 wisnus) periode libur Tahun Baru Islam 15-16 Juni 2026 (https://www.antaranews.com/berita/5610856/libur-tahun-baru-islam-ribuan-wisatawan-kunjungi-kepulauan-seribu); 13.020 wisatawan libur Waisak 30-31 Mei 2026, rincian 6.110 (30 Mei) + 6.910 (31 Mei) (https://pulauseribu.jakarta.go.id/post/2026-06-01/libur-hari-raya-waisak--13-020-wisatawan-sambangi-); 6.252 wisatawan libur panjang Kenaikan Yesus Kristus pertengahan Mei 2026 (https://www.bloombergtechnoz.com/detail-news/109110/libur-panjang-kepulauan-seribu-catat-6-252-kunjungan-wisatawan); dan total kumulatif 398.519 wisatawan sepanjang tahun 2025 (https://pulauseribu.jakarta.go.id/post/2026-01-11/kunjungan-wisatawan-kepulauan-seribu-di-tahun-2025). Situs resmi pulauseribu.jakarta.go.id dicek langsung, tidak ada rilis untuk Juli 2026 pada saat pencarian (7 Agustus 2026).
Museum Wayang	TIDAK DITEMUKAN				-	Satu Data Jakarta - Jumlah Pengunjung Museum Menurut Kabupaten/Kota di Provinsi DKI Jakarta	https://satudata.jakarta.go.id/open-data/detail?kategori=dataset&page_url=jumlah-pengunjung-museum-menurut-kabupatenkota-di-dki-jakarta	2026-08-04	Dataset resmi Dinas Kebudayaan bersifat TRIWULANAN (bukan bulanan), pecahan hanya pelajar/umum (bukan wisnus/wisman). Periode terbaru yang tersedia baru sampai kuartal berakhir Maret 2026 (kode periode 202603); belum ada data untuk Juli 2026. Angka Q1 2026 (Jan-Mar) untuk Museum Wayang = 327639 pengunjung (pelajar 127461 + umum 200178) TIDAK dipakai sebagai jawaban karena bukan Juli 2026.
Museum Seni Rupa dan Keramik	TIDAK DITEMUKAN				-	Satu Data Jakarta - Jumlah Pengunjung Museum Menurut Kabupaten/Kota di Provinsi DKI Jakarta	https://satudata.jakarta.go.id/open-data/detail?kategori=dataset&page_url=jumlah-pengunjung-museum-menurut-kabupatenkota-di-dki-jakarta	2026-08-04	Sama seperti Museum Wayang: dataset triwulanan, tanpa pecahan wisnus/wisman, data terbaru hanya sampai kuartal berakhir Maret 2026 (136639 pengunjung pada periode 202603, bukan angka Juli 2026).
Museum Tekstil	TIDAK DITEMUKAN				-	Satu Data Jakarta - Jumlah Pengunjung Museum Menurut Kabupaten/Kota di Provinsi DKI Jakarta	https://satudata.jakarta.go.id/open-data/detail?kategori=dataset&page_url=jumlah-pengunjung-museum-menurut-kabupatenkota-di-dki-jakarta	2026-08-04	Dataset triwulanan, data terbaru hanya sampai kuartal berakhir Maret 2026 (30673 pengunjung pada periode 202603, bukan angka Juli 2026). Juli 2026 ada pameran "Menjaga Warisan untuk Masa Depan" tapi tanpa angka pengunjung.
Museum Bahari	TIDAK DITEMUKAN				-	Satu Data Jakarta - Jumlah Pengunjung Museum Menurut Kabupaten/Kota di Provinsi DKI Jakarta	https://satudata.jakarta.go.id/open-data/detail?kategori=dataset&page_url=jumlah-pengunjung-museum-menurut-kabupatenkota-di-dki-jakarta	2026-08-04	Dataset triwulanan, data terbaru hanya sampai kuartal berakhir Maret 2026 (44658 pengunjung pada periode 202603, bukan angka Juli 2026).
Museum Joang '45	TIDAK DITEMUKAN				-	Satu Data Jakarta - Jumlah Pengunjung Museum Menurut Kabupaten/Kota di Provinsi DKI Jakarta	https://satudata.jakarta.go.id/open-data/detail?kategori=dataset&page_url=jumlah-pengunjung-museum-menurut-kabupatenkota-di-dki-jakarta	2026-08-04	Dataset triwulanan, data terbaru hanya sampai kuartal berakhir Maret 2026 (8675 pengunjung pada periode 202603, bukan angka Juli 2026). Termasuk salah satu dari 4 museum program gratis HUT Jakarta 22/27/28 Juni 2026 (bukan Juli).
Museum Prasasti	TIDAK DITEMUKAN				-	Satu Data Jakarta - Jumlah Pengunjung Museum Menurut Kabupaten/Kota di Provinsi DKI Jakarta	https://satudata.jakarta.go.id/open-data/detail?kategori=dataset&page_url=jumlah-pengunjung-museum-menurut-kabupatenkota-di-dki-jakarta	2026-08-04	Dataset triwulanan, data terbaru hanya sampai kuartal berakhir Maret 2026 (3979 pengunjung pada periode 202603, bukan angka Juli 2026). Termasuk salah satu dari 4 museum program gratis HUT Jakarta 22/27/28 Juni 2026 (bukan Juli).
Museum M.H. Thamrin	TIDAK DITEMUKAN				-	Satu Data Jakarta - Jumlah Pengunjung Museum Menurut Kabupaten/Kota di Provinsi DKI Jakarta	https://satudata.jakarta.go.id/open-data/detail?kategori=dataset&page_url=jumlah-pengunjung-museum-menurut-kabupatenkota-di-dki-jakarta	2026-08-04	Dataset triwulanan, data terbaru hanya sampai kuartal berakhir Maret 2026 (2311 pengunjung pada periode 202603, bukan angka Juli 2026). Termasuk salah satu dari 4 museum program gratis HUT Jakarta 22/27/28 Juni 2026 (bukan Juli).
Museum Kebangkitan Nasional	TIDAK DITEMUKAN				-	-	-	-	Dikelola Indonesian Heritage Agency (IHA)/Kemendikbud, bukan Pemprov DKI. Tidak ditemukan angka bulanan per-museum di iheritage.id maupun pemberitaan; hanya ada agregat nasional "118.510 pengunjung" untuk seluruh unit BLU Museum dan Cagar Budaya selama musim libur sekolah Juli 2026 (Antara, 15 Jul 2026), tanpa rincian per museum.
Museum Sumpah Pemuda	TIDAK DITEMUKAN				-	-	-	-	Dikelola IHA/Kemendikbud. Tidak ditemukan angka pengunjung spesifik Juli 2026 di situs resmi muspada.kemenbud.go.id maupun pemberitaan.
Museum Perumusan Naskah Proklamasi	TIDAK DITEMUKAN				-	-	-	-	Dikelola IHA/Kemendikbud. Tidak ditemukan angka pengunjung spesifik Juli 2026 di business-iha.kemenbud.go.id maupun pemberitaan.
Museum Satria Mandala	TIDAK DITEMUKAN				-	-	-	-	Dikelola TNI/Kemenhan, bukan Pemprov DKI/Kemendikbud. Tidak ada publikasi statistik kunjungan bulanan; hanya referensi lama (~48.000/tahun periode 2006-2008) yang tidak relevan untuk Juli 2026.
Museum Basoeki Abdullah	TIDAK DITEMUKAN				-	-	-	-	Dikelola IHA/Kemendikbud. Tidak ditemukan angka pengunjung spesifik Juli 2026 di situs resmi museumbasoekiabdullah.id maupun pemberitaan.
Museum Arkeologi Onrust	TIDAK DITEMUKAN				-	Satu Data Jakarta - Jumlah Pengunjung Museum Menurut Kabupaten/Kota di Provinsi DKI Jakarta	https://satudata.jakarta.go.id/open-data/detail?kategori=dataset&page_url=jumlah-pengunjung-museum-menurut-kabupatenkota-di-dki-jakarta	2026-08-04	Dataset triwulanan, data terbaru hanya sampai kuartal berakhir Maret 2026 (15277 pengunjung pada periode 202603, bukan angka Juli 2026).
Rumah Si Pitung (Situs Marunda)	TIDAK DITEMUKAN				-	Satu Data Jakarta - Jumlah Pengunjung Museum Menurut Kabupaten/Kota di Provinsi DKI Jakarta	https://satudata.jakarta.go.id/open-data/detail?kategori=dataset&page_url=jumlah-pengunjung-museum-menurut-kabupatenkota-di-dki-jakarta	2026-08-04	Tercatat sebagai "Situs Marunda (Rumah Si Pitung)". Dataset triwulanan, data terbaru hanya sampai kuartal berakhir Maret 2026 (11199 pengunjung pada periode 202603, bukan angka Juli 2026).
Pelabuhan Sunda Kelapa	TIDAK DITEMUKAN				-	-	-	-	Dikelola Pelindo, bukan objek wisata resmi dengan pencatatan pengunjung publik. Tidak ditemukan data kunjungan wisata bulanan di sumber manapun; tidak ditemukan pula konfirmasi publik soal status tutup/buka untuk wisata pada 2026 - hanya berita kolaborasi Pelindo-Jakpro (menindaklanjuti MoU 24 Jul 2024) soal pengembangan konsep pariwisata di kawasan ini, mengindikasikan area belum berjalan sebagai DTW formal dengan pencatatan pengunjung. Konsisten dengan catatan pengelola bahwa data resmi Dispar menunjukkan 0 sepanjang 2026.
