destinasi	pengelola	jenis_pengelola	telepon	email	situs	medsos	nama_pejabat_humas	jabatan	sumber_url
Pelabuhan Sunda Kelapa	PT Pelindo (Persero) Regional 2 - Pelabuhan Sunda Kelapa (fasilitas pelabuhan); kawasan wisata terkait Pemkot Adm. Jakarta Utara/Dinas Pariwisata dan Ekonomi Kreatif DKI Jakarta	BUMN			https://pelindo.co.id/port/pelabuhan-sunda-kelapa				https://pelindo.co.id/port/pelabuhan-sunda-kelapa; https://www.wartamaritimindonesia.com/2026/04/pelindo-regional-2-sunda-kelapa-gelar.html
Rumah Si Pitung (Marunda)	Unit Pengelola (UP) Museum Kebaharian Jakarta, Dinas Kebudayaan Provinsi DKI Jakarta	UPT/UP Pemprov DKI	+62 21 6693406	museumbahari@yahoo.com	https://dinaskebudayaan.jakarta.go.id/disbud_museum/museum-bahari	@museumkebaharianjkt (Instagram); museumbahari (Facebook)	Mis'Ari	Kepala Unit Pengelola (UP) Museum Kebaharian, Dinas Kebudayaan Provinsi DKI Jakarta	https://megapolitan.kompas.com/read/2026/06/03/21193281/menghidupkan-kembali-rumah-si-pitung-menjaga-warisan-betawi-di-pesisir
Museum Bahari	Unit Pengelola (UP) Museum Kebaharian Jakarta, Dinas Kebudayaan Provinsi DKI Jakarta	UPT/UP Pemprov DKI	+62 21 6693406	museumbahari@yahoo.com	https://dinaskebudayaan.jakarta.go.id/disbud_museum/museum-bahari	@museumkebaharianjkt (Instagram); museumbahari (Facebook)	Mis'Ari	Kepala Unit Pengelola (UP) Museum Kebaharian, Dinas Kebudayaan Provinsi DKI Jakarta	https://megapolitan.kompas.com/read/2026/06/03/21193281/menghidupkan-kembali-rumah-si-pitung-menjaga-warisan-betawi-di-pesisir; https://www.instagram.com/museumkebaharianjkt/
Pantai Indah Kapuk 1 (PIK 1, Jakarta Utara)	Agung Sedayu Group (bersama Salim Group) - pengembang/pengelola kawasan PIK 1	Swasta			https://www.agungsedayu.com/en				https://www.instantoffices.com/en/id/available-office-space/jakarta/jl-pantai-indah-kapuk-55100; https://www.agungsedayu.com/en
Kawasan Kota Tua	Unit Pengelola Kawasan Kota Tua (UPK Kota Tua), Dinas Kebudayaan Provinsi DKI Jakarta	UPT/UP Pemprov DKI	(021) 691-6275		https://jdih.jakarta.go.id/dokumen/detail/10191/peraturan-gubernur-nomor-294-tahun-2014-tentang-pembentukan-organisasi-dan-tata-kerja-unit-pengelola-kawasan-kota-tua	Instagram @kotatua.jkt	Denny Aputra	Kepala UPK Kota Tua	https://m.beritajakarta.id/read/150241/kota-tua-disambangi-24-juta-lebih-pengunjung-sepanjang-2025; https://www.beritajakarta.id/read/150162/ini-penjelasan-upk-kota-tua-terkait-bangunan-tak-bisa-ditata
Museum Sejarah Jakarta (Museum Fatahillah)	Unit Pengelola (UP) Museum Kesejarahan Jakarta, Dinas Kebudayaan Provinsi DKI Jakarta	UPT/UP Pemprov DKI	(021) 6929101 / 690-1483		https://mitramuseumjakarta.id	Instagram @museumkesejarahan	Retno Ayati	Kepala Unit Pengelola Museum Kesejarahan Jakarta	https://faktualid.com/wisata/mahya/museum-gratis-hut-jakarta/
Museum Seni Rupa & Keramik	Unit Pengelola Museum Seni, Dinas Kebudayaan Provinsi DKI Jakarta	UPT/UP Pemprov DKI	+6221 6907062	museum_seni@yahoo.co.id	https://www.mitramuseumjakarta.id/seni	Instagram @museum_senijkt	Sri Kusumawati	Kepala Unit Pengelola Museum Seni, Dinas Kebudayaan DKI Jakarta	https://m.beritajakarta.id/read/151637/belasan-ribu-wisatawan-kunjungi-museum-seni-di-jakbar; https://www.instagram.com/p/DKv4HCtRKNv/
Museum Wayang	Unit Pengelola Museum Seni, Dinas Kebudayaan Provinsi DKI Jakarta	UPT/UP Pemprov DKI	+6221 6929560	museum_seni@yahoo.co.id	https://www.mitramuseumjakarta.id/wayang	Instagram @wayangmuseum	Sri Kusumawati	Kepala Unit Pengelola Museum Seni, Dinas Kebudayaan DKI Jakarta	https://m.beritajakarta.id/read/151637/belasan-ribu-wisatawan-kunjungi-museum-seni-di-jakbar; https://www.mitramuseumjakarta.id/wayang
Jakarta Aquarium Safari (Neo Soho / Taman Anggrek)	Jakarta Aquarium & Safari (MyJaq) - PT Taman Safari Indonesia bekerja sama dengan Aquaria KLCC Malaysia; nama badan hukum pengelola belum terverifikasi pasti dari sumber resmi		(021) 2789-3435 / WA +62878-5608-8567		https://www.jakartaaquariumsafari.com	Instagram @jakartaaquarium	Ritzka Yauma Putri Driarkoro	Marketing Manager (Manajer Pemasaran) Jakarta Aquarium & Safari	https://www.antaranews.com/berita/5254397/jakarta-aquarium-safari-berhasil-padukan-rekreasi-dan-edukasi; https://tamansafari.com/jakarta-aquarium-safari-akuarium-dan-lembaga-konservasi-indoor-terbesar-di-jakarta-alternatif-wisata-edukatif/
Museum Tekstil	Unit Pengelola Museum Seni, Dinas Kebudayaan Provinsi DKI Jakarta	UPT/UP Pemprov DKI	+6221 6907062	museum_seni@yahoo.co.id	https://mitramuseumjakarta.id/tekstil		Sri Kusumawati	Kepala Unit Pengelola Museum Seni, Dinas Kebudayaan DKI Jakarta	https://m.beritajakarta.id/read/151637/belasan-ribu-wisatawan-kunjungi-museum-seni-di-jakbar; https://mitramuseumjakarta.id/tekstil
Taman Margasatwa Ragunan	Unit Pengelola (UP) Taman Margasatwa Ragunan, Pemprov DKI Jakarta	UPT/UP Pemprov DKI	(021) 7884 7114 / fax (021) 780 5280	ragunanzoo@jakarta.go.id	https://ragunanzoo.jakarta.go.id	Instagram/Facebook/Twitter @ragunanzoo	Wahyudi Bambang	Kepala Humas Taman Margasatwa Ragunan	https://koran-jakarta.com/2025-10-19/humas-pengunjung-wisata-malam-di-taman-margasatwa-ragunan-naik-drastis
Perkampungan Budaya Betawi (PBB) Setu Babakan	Unit Pengelola Kawasan (UPK) Perkampungan Budaya Betawi Setu Babakan, Dinas Kebudayaan Provinsi DKI Jakarta	UPT/UP Pemprov DKI	081236224636 (hotline museum, 2020)		https://budayabetawi.ikj.ac.id/wisata/kampung-setu-babakan/	Instagram @pbbsetubabakan	Tonny Bako	Kepala UPK PBB Setu Babakan	https://m.beritajakarta.id/read/143409/pengelola-setu-babakan-antisipasi-membludaknya-pengunjung-libur-lebaran; https://m.beritajakarta.id/read/84755/mau-berkunjung-ke-museum-silakan-hubungi-nomor-hotline-ini
RTH Tebet Eco Park	Dinas Pertamanan dan Hutan Kota Provinsi DKI Jakarta	UPT/UP Pemprov DKI	+62 21 532 8454	distama@jakarta.go.id			Suzi Marsitawati	Kepala Dinas Pertamanan dan Hutan Kota DKI Jakarta (nama tercatat 2021-2022, belum terverifikasi masih menjabat 2025-2026)	https://distamhut.jakarta.go.id/v140/t602/1e149b33d877b7afb1d87fbea00a1614; https://www.harianterbit.com/megapolitan/amp/pr-2743271935/topik-khusus.html
Museum Satria Mandala	Pusat Sejarah TNI (Dinas Sejarah TNI), Markas Besar TNI	Pemerintah pusat	(021) 582759; (021) 5227946; (021) 5251795	pusejarahtni@gmail.com	www.sejarahtni.mil.id		Letnan Kolonel Laut Arief Sulistyo	Kepala Museum Satria Mandala (belum ditemukan kutipan media 2025-2026 soal data pengunjung)	https://sejarah-tni.mil.id/category/museum-satriamandala/; https://asosiasimuseumindonesia.org/anggota/85-museum-satria-mandala.html
Museum Basoeki Abdullah	Indonesian Heritage Agency (Museum dan Cagar Budaya), Kementerian Kebudayaan RI	Pemerintah pusat	021-7698926; 021-75911870	Basoeki.abdullah@gmail.com	www.museumbasoekiabdullah.or.id			(belum ditemukan nama pejabat/humas yang dikutip media 2025-2026 soal data pengunjung)	https://iha.kemenbud.go.id/portfolio/museum-basoeki-abdullah/; https://museumbasoekiabdullah.id/virtual/kunjungi-museum/
Taman Mini Indonesia Indah (TMII)	PT Taman Wisata Candi Borobudur Prambanan & Ratu Boko (Persero) / PT TMII di bawah holding BUMN Pariwisata InJourney, pengawasan aset oleh Kementerian Sekretariat Negara	BUMN	021-87792078	marketing@tamanmini.com	www.tamanmini.com		Novera Mayang; Ken Elsa	Manager Corporate Secretary TMII (kutip 135.000 pengunjung Lebaran 2025); staf Departemen Stakeholder Relations and CSR TMII (kutip 33.000 pengunjung 1 Jan 2026)	https://megapolitan.kompas.com/read/2025/04/09/09150221/135000-orang-kunjungi-tmii-selama-libur-lebaran-2025; https://www.liputan6.com/news/read/6249261/hari-pertama-2026-sebanyak-33-ribu-pengunjung-padati-tmii; https://setneg.go.id/baca/index/mulai_1_april_2021_aset_milik_negara_tmii_dikelola_kemensetneg
Old Shanghai (Sedayu City, Kelapa Gading, Jakarta Timur)	PT Agung Sedayu Group (pengelola kawasan Sedayu City)	Swasta					Jarenta Sinaga	Operation Deputy Division Head Commercial Retail 1, Sedayu City (kutip "15 ribu orang per hari" berkunjung ke Old Shanghai, Feb 2025)	https://www.rctiplus.com/news/detail/gaya-hidup/4679316/15-ribu-orang-sehari-old-shanghai-sedayu-city-jadi-destinasi-baru-bikin-nostalgia-dan-ketagihan; https://businessasia.co.id/old-shanghai-sedayu-city-kelapa-gading-persembahkan-shanghai-mooncake-festival-2025-ke-4/
Museum Arkeologi Onrust (Pulau Onrust, Kepulauan Seribu)	Unit Pengelola (UP) Museum Kebaharian Jakarta, Dinas Kebudayaan Provinsi DKI Jakarta	UPT/UP Pemprov DKI	(021) 6693406; (021) 6692476		www.museumbahari.org	instagram @museumkebaharianjkt	Mis'Ari	Kepala Unit Pengelola Museum Kebaharian Jakarta (belum ditemukan kutipan media 2025-2026 spesifik soal data pengunjung Onrust)	https://www.instagram.com/museumkebaharianjkt/; https://m.beritajakarta.id/read/138071/serangkaian-acara-meriahkan-hut-ke-47-museum-bahari-jakarta; https://pulauseribu.jakarta.go.id/post/2024-09-09/libatkan-distamhut-provinsi-dki-jakarta--up-museum-kebaharian-jakarta-lakukan-pengecekan-kesehatan-pohon
Kepulauan Seribu (Sudin Pariwisata dan Ekonomi Kreatif Kepulauan Seribu)	Suku Dinas Pariwisata dan Ekonomi Kreatif (Sudin Parekraf) Kepulauan Seribu, Kabupaten Administrasi Kepulauan Seribu, Pemprov DKI Jakarta	UPT/UP Pemprov DKI		 	pulauseribu.jakarta.go.id	instagram @seribuislandsofficial; instagram @pulauseribu.tourism	Sonti Pangaribuan	Kepala Suku Dinas Pariwisata dan Ekonomi Kreatif Kepulauan Seribu (kutip data kunjungan wisatawan 398.519 orang tahun 2025)	https://pulauseribu.jakarta.go.id/post/2026-01-11/kunjungan-wisatawan-kepulauan-seribu-di-tahun-2025; https://www.instagram.com/seribuislandsofficial/
