Ketersediaan	Framework	Dimensi/Fungsi	Kelompok	Kode	Indikator	Ukuran/Definisi	Pemilik Data (OPD)	Data Dispar	Readiness	Catatan
Data Ada	GPCI	Cultural Interaction	Cultural Resources	CI-WH	Kedekatan situs warisan dunia	Proximity to World Heritage	Dinas Kebudayaan	Sebagian	Partial	Kandidat Kota Tua; belum ada situs UNESCO di DKI — perlu konfirmasi Disbud
Data Ada	GPCI	Cultural Interaction	Cultural Resources	CI-TH	Jumlah teater	Number of theaters	Dinas Kebudayaan / DISPAREKRAF	Sebagian	Partial	Proksi via venue seni pertunjukan; inventori teater perlu ditambah
Data Ada	GPCI	Cultural Interaction	Cultural Resources	CI-MU	Jumlah museum	Number of museums	Dinas Kebudayaan	Sebagian	Partial	Proksi Obyek Wisata; inventori museum resmi perlu ditambah
Data Ada	GPCI	Cultural Interaction	Facilities for Visitors	CI-HR	Jumlah kamar hotel	Number of hotel rooms	DISPAREKRAF	Ya	Ready	Rekapitulasi Usaha & Kamar Hotel; Usaha Penyediaan Akomodasi
Data Ada	GPCI	Cultural Interaction	Facilities for Visitors	CI-LH	Jumlah kamar hotel mewah	Luxury hotel rooms	DISPAREKRAF	Sebagian	Partial	Proksi Hotel Berbintang (hunian, lama menginap); perlu segmentasi bintang 4-5
Data Ada	GPCI	Cultural Interaction	Shopping/Dining	CI-SH	Daya tarik belanja (Shopping)	Attractiveness of shopping	DISPAREKRAF	Sebagian	Partial	% Pengaruh Wisata Belanja; pengeluaran wisatawan
Data Ada	GPCI	Cultural Interaction	Shopping/Dining	CI-DI	Daya tarik kuliner (Dining)	Attractiveness of dining	DISPAREKRAF	Ya	Ready	Restoran & Kafe GCI; % Pengaruh Wisata Kuliner; pengeluaran wisatawan
Data Ada	GPCI	Cultural Interaction	Shopping/Dining	CI-NL	Pilihan hiburan malam (Nightlife)	Nightlife options	DISPAREKRAF	Sebagian	Partial	% Pengaruh Wisata Malam; Usaha Hiburan & Rekreasi
Data Tidak Ada	GCI	Cultural Experience	Cultural	CE5	Event olahraga besar	Jumlah event olahraga internasional	Dispora	Tidak	Gap	Lintas-OPD (Dispora)
Data Tidak Ada	GCI	Cultural Experience	Cultural	CE6	Sister city	Jumlah kota kembar	Biro Kerja Sama Daerah	Tidak	Gap	Lintas-OPD (Biro KSD)
Data Tidak Ada	GCI	Human Capital	Akses	HC-VISA	Kemudahan masuk (visa/entry)	Kebijakan visa on arrival / bebas visa	Imigrasi (nasional)	Tidak	Gap	Lintas-instansi; relevan arus wisatawan
Data Tidak Ada	GPCI	Cultural Interaction	Volume of Interaction	CI-FR	Jumlah penduduk asing (Foreign Residents)	Jumlah ekspatriat menetap	Disdukcapil / Imigrasi	Tidak	Gap	Lintas-OPD
Data Tidak Ada	GPCI	Cultural Interaction	Facilities for Visitors	CI-ST	Jumlah stadion	Number of stadiums	Dispora	Tidak	Gap	Lintas-OPD (Dispora)
Data Tidak Ada	GPCI	Accessibility	International	AC-DF	Kota dengan penerbangan langsung internasional	Cities with direct int'l flights	Dishub / AP II	Tidak	Gap	Lintas-OPD; konektivitas wisata
Data Tidak Ada	GPCI	Accessibility	International	AC-AP	Jumlah penumpang udara	Number of air passengers	AP II / Dishub	Tidak	Gap	Lintas-OPD; proksi arus wisatawan via bandara (Dispar punya TIC Bandara)
Data Tidak Ada	GPCI	Accessibility	International	AC-AR	Kedatangan/keberangkatan bandara	Airport arrivals/departures	AP II	Tidak	Gap	Lintas-OPD
Data Tidak Ada	GPCI	Accessibility	International	AC-TT	Waktu tempuh ke bandara	Travel time to airport	Dishub	Tidak	Gap	Lintas-OPD
